worker_id,name,mobile,ac_code,ac_name,assigned_booth_part,tier,active
W00001,Worker-1,9863266829,1701,Alp-1701,,Supervisor,True
W00002,Worker-2,9898401392,1701,Alp-1701,,Supervisor,True
W00003,Worker-3,9833157955,1701,Alp-1701,,Supervisor,True
W00004,Worker-4,9838128149,1701,Alp-1701,,BLO,True
W00005,Worker-5,9832581197,1701,Alp-1701,,BLA,True
W00006,Worker-6,9844202472,1701,Alp-1701,,Volunteer,True
W00007,Worker-7,9871855259,1701,Alp-1701,,BLA,True
W00008,Worker-8,9899927360,1701,Alp-1701,,BLO,True
W00009,Worker-9,9848679985,1701,Alp-1701,,BLA,True
W00010,Worker-10,9867365755,1701,Alp-1701,,BLA,True
W00011,Worker-11,9842356236,1701,Alp-1701,,BLO,True
W00012,Worker-12,9846750842,1701,Alp-1701,,Volunteer,True
W00013,Worker-13,9879371514,1701,Alp-1701,,Volunteer,True
W00014,Worker-14,9831776415,1701,Alp-1701,,Volunteer,True
W00015,Worker-15,9857319169,1701,Alp-1701,,Volunteer,True
W00016,Worker-16,9870440780,1701,Alp-1701,,Volunteer,True
W00017,Worker-17,9827678860,1701,Alp-1701,,BLA,True
W00018,Worker-18,9835864137,1701,Alp-1701,,BLO,True
W00019,Worker-19,9890155770,1701,Alp-1701,,Supervisor,True
W00020,Worker-20,9889023710,1701,Alp-1701,,Volunteer,True
W00021,Worker-21,9812346242,1701,Alp-1701,,Volunteer,True
W00022,Worker-22,9898101742,1701,Alp-1701,,BLA,True
W00023,Worker-23,9883038088,1701,Alp-1701,,Supervisor,True
W00024,Worker-24,9831550577,1701,Alp-1701,,Supervisor,True
W00025,Worker-25,9816040725,1701,Alp-1701,,Supervisor,True
W00026,Worker-26,9877170906,1701,Alp-1701,,BLO,True
W00027,Worker-27,9841877385,1701,Alp-1701,,BLA,True
W00028,Worker-28,9861695810,1701,Alp-1701,,Volunteer,True
W00029,Worker-29,9824403878,1701,Alp-1701,,Volunteer,True
W00030,Worker-30,9878574079,1701,Alp-1701,,BLO,True
W00031,Worker-31,9836484679,1701,Alp-1701,,Volunteer,True
W00032,Worker-32,9839738579,1701,Alp-1701,,Volunteer,True
W00033,Worker-33,9885013609,1701,Alp-1701,,BLO,True
W00034,Worker-34,9841592908,1701,Alp-1701,,BLA,True
W00035,Worker-35,9854524548,1701,Alp-1701,,BLA,True
W00036,Worker-36,9825495314,1701,Alp-1701,,BLA,True
W00037,Worker-37,9816353581,1701,Alp-1701,,Supervisor,True
W00038,Worker-38,9860153070,1701,Alp-1701,,Volunteer,True
W00039,Worker-39,9834090540,1701,Alp-1701,,Supervisor,True
W00040,Worker-40,9877491676,1701,Alp-1701,,Supervisor,True
W00041,Worker-41,9873774555,1701,Alp-1701,,Supervisor,True
W00042,Worker-42,9838539320,1701,Alp-1701,,BLA,True
W00043,Worker-43,9844676121,1701,Alp-1701,,Supervisor,True
W00044,Worker-44,9889770361,1701,Alp-1701,,BLO,True
W00045,Worker-45,9869881489,1701,Alp-1701,,Supervisor,True
W00046,Worker-46,9830533538,1701,Alp-1701,,BLA,True
W00047,Worker-47,9877637074,1701,Alp-1701,,Supervisor,True
W00048,Worker-48,9837930337,1701,Alp-1701,,Supervisor,True
W00049,Worker-49,9874090733,1701,Alp-1701,,Volunteer,True
W00050,Worker-50,9886726163,1701,Alp-1701,,Supervisor,True
W00051,Worker-51,9813326845,1701,Alp-1701,,Volunteer,True
W00052,Worker-52,9889044085,1701,Alp-1701,,Volunteer,True
W00053,Worker-53,9840709142,1701,Alp-1701,,Volunteer,True
W00054,Worker-54,9829335824,1701,Alp-1701,,BLO,True
W00055,Worker-55,9853223633,1701,Alp-1701,,BLO,True
W00056,Worker-56,9835248901,1701,Alp-1701,,BLO,True
W00057,Worker-57,9855803490,1701,Alp-1701,,Supervisor,True
W00058,Worker-58,9882255557,1701,Alp-1701,,Volunteer,True
W00059,Worker-59,9818347869,1701,Alp-1701,,Supervisor,True
W00060,Worker-60,9859541349,1701,Alp-1701,,BLO,True
W00061,Worker-61,9812813088,1701,Alp-1701,,Volunteer,True
W00062,Worker-62,9845745495,1701,Alp-1701,,BLO,True
W00063,Worker-63,9873661151,1701,Alp-1701,,BLO,True
W00064,Worker-64,9840121428,1701,Alp-1701,,Volunteer,True
W00065,Worker-65,9853255739,1701,Alp-1701,,Volunteer,True
W00066,Worker-66,9889026259,1701,Alp-1701,,Supervisor,True
W00067,Worker-67,9854891190,1701,Alp-1701,,BLO,True
W00068,Worker-68,9856845973,1701,Alp-1701,,BLO,True
