worker_id,name,mobile,ac_code,ac_name,assigned_booth_part,tier,active
W00001,Worker-1,9885080268,1101,Birb-1101,,BLA,True
W00002,Worker-2,9859155776,1101,Birb-1101,,Volunteer,True
W00003,Worker-3,9835488917,1101,Birb-1101,,BLA,True
W00004,Worker-4,9897558212,1101,Birb-1101,,BLA,True
W00005,Worker-5,9872714923,1101,Birb-1101,,BLA,True
W00006,Worker-6,9898337897,1101,Birb-1101,,Supervisor,True
W00007,Worker-7,9845539808,1101,Birb-1101,,Supervisor,True
W00008,Worker-8,9863010123,1101,Birb-1101,,Supervisor,True
W00009,Worker-9,9876082858,1101,Birb-1101,,Volunteer,True
W00010,Worker-10,9814947315,1101,Birb-1101,,BLO,True
W00011,Worker-11,9822132685,1101,Birb-1101,,Volunteer,True
W00012,Worker-12,9884931591,1101,Birb-1101,,Supervisor,True
W00013,Worker-13,9888294539,1101,Birb-1101,,BLA,True
W00014,Worker-14,9855921511,1101,Birb-1101,,BLO,True
W00015,Worker-15,9857732776,1101,Birb-1101,,BLA,True
W00016,Worker-16,9865128255,1101,Birb-1101,,Volunteer,True
W00017,Worker-17,9830389310,1101,Birb-1101,,Volunteer,True
W00018,Worker-18,9821295689,1101,Birb-1101,,Supervisor,True
W00019,Worker-19,9811252094,1101,Birb-1101,,Supervisor,True
W00020,Worker-20,9869988587,1101,Birb-1101,,Volunteer,True
W00021,Worker-21,9890358404,1101,Birb-1101,,Supervisor,True
W00022,Worker-22,9820141286,1101,Birb-1101,,Volunteer,True
W00023,Worker-23,9866408686,1101,Birb-1101,,BLO,True
W00024,Worker-24,9898729741,1101,Birb-1101,,Volunteer,True
W00025,Worker-25,9840801763,1101,Birb-1101,,BLA,True
W00026,Worker-26,9889852093,1101,Birb-1101,,BLA,True
W00027,Worker-27,9893326686,1101,Birb-1101,,Supervisor,True
W00028,Worker-28,9827588520,1101,Birb-1101,,BLA,True
W00029,Worker-29,9827700616,1101,Birb-1101,,BLA,True
W00030,Worker-30,9848950141,1101,Birb-1101,,Volunteer,True
W00031,Worker-31,9829870660,1101,Birb-1101,,BLA,True
W00032,Worker-32,9824273600,1101,Birb-1101,,BLA,True
W00033,Worker-33,9891566100,1101,Birb-1101,,BLA,True
W00034,Worker-34,9821706755,1101,Birb-1101,,Supervisor,True
W00035,Worker-35,9851257015,1101,Birb-1101,,BLA,True
W00036,Worker-36,9829033444,1101,Birb-1101,,BLA,True
W00037,Worker-37,9846762969,1101,Birb-1101,,Volunteer,True
W00038,Worker-38,9897290803,1101,Birb-1101,,BLO,True
W00039,Worker-39,9828798055,1101,Birb-1101,,Supervisor,True
W00040,Worker-40,9890119188,1101,Birb-1101,,Volunteer,True
W00041,Worker-41,9890308472,1101,Birb-1101,,BLA,True
W00042,Worker-42,9871405859,1101,Birb-1101,,Supervisor,True
W00043,Worker-43,9891277492,1101,Birb-1101,,Supervisor,True
W00044,Worker-44,9881503464,1101,Birb-1101,,Supervisor,True
W00045,Worker-45,9878012468,1101,Birb-1101,,Volunteer,True
W00046,Worker-46,9859579987,1101,Birb-1101,,BLO,True
W00047,Worker-47,9870819659,1101,Birb-1101,,Supervisor,True
W00048,Worker-48,9834165046,1101,Birb-1101,,BLA,True
W00049,Worker-49,9876276093,1101,Birb-1101,,BLO,True
W00050,Worker-50,9846422230,1101,Birb-1101,,BLA,True
W00051,Worker-51,9831336610,1101,Birb-1101,,Supervisor,True
W00052,Worker-52,9825656267,1101,Birb-1101,,BLA,True
W00053,Worker-53,9879521881,1101,Birb-1101,,Supervisor,True
W00054,Worker-54,9890843417,1101,Birb-1101,,Volunteer,True
W00055,Worker-55,9839756128,1101,Birb-1101,,Volunteer,True
W00056,Worker-56,9843815262,1101,Birb-1101,,Volunteer,True
W00057,Worker-57,9811168614,1101,Birb-1101,,BLO,True
W00058,Worker-58,9849947618,1101,Birb-1101,,Volunteer,True
W00059,Worker-59,9868541152,1101,Birb-1101,,BLO,True
W00060,Worker-60,9892419278,1101,Birb-1101,,BLA,True
W00061,Worker-61,9819436184,1101,Birb-1101,,BLA,True
W00062,Worker-62,9817925274,1101,Birb-1101,,BLA,True
W00063,Worker-63,9859684606,1101,Birb-1101,,Volunteer,True
W00064,Worker-64,9845577799,1101,Birb-1101,,Volunteer,True
W00065,Worker-65,9836628152,1101,Birb-1101,,Supervisor,True
W00066,Worker-66,9856399937,1101,Birb-1101,,Volunteer,True
W00067,Worker-67,9825251900,1101,Birb-1101,,Supervisor,True
W00068,Worker-68,9866740661,1101,Birb-1101,,BLO,True
W00069,Worker-69,9838752146,1101,Birb-1101,,Supervisor,True
W00070,Worker-70,9812766515,1101,Birb-1101,,Supervisor,True
W00071,Worker-71,9821654242,1101,Birb-1101,,BLO,True
W00072,Worker-72,9870372126,1101,Birb-1101,,BLO,True
W00073,Worker-73,9855303107,1101,Birb-1101,,Volunteer,True
W00074,Worker-74,9848901209,1101,Birb-1101,,BLA,True
W00075,Worker-75,9865261635,1101,Birb-1101,,Supervisor,True
W00076,Worker-76,9869236015,1101,Birb-1101,,Supervisor,True
W00077,Worker-77,9879348192,1101,Birb-1101,,BLA,True
W00078,Worker-78,9863548455,1101,Birb-1101,,BLA,True
W00079,Worker-79,9812363439,1101,Birb-1101,,Volunteer,True
W00080,Worker-80,9864659307,1101,Birb-1101,,Volunteer,True
W00081,Worker-81,9820631810,1101,Birb-1101,,Supervisor,True
W00082,Worker-82,9871494539,1101,Birb-1101,,Volunteer,True
