worker_id,name,mobile,ac_code,ac_name,assigned_booth_part,tier,active
W00001,Worker-1,9886646333,1901,Drj-1901,,BLO,True
W00002,Worker-2,9815942911,1901,Drj-1901,,Volunteer,True
W00003,Worker-3,9848030280,1901,Drj-1901,,BLA,True
W00004,Worker-4,9868750021,1901,Drj-1901,,Supervisor,True
W00005,Worker-5,9865639769,1901,Drj-1901,,BLA,True
W00006,Worker-6,9840688868,1901,Drj-1901,,Supervisor,True
W00007,Worker-7,9892227308,1901,Drj-1901,,Volunteer,True
W00008,Worker-8,9831122666,1901,Drj-1901,,Supervisor,True
W00009,Worker-9,9854819207,1901,Drj-1901,,Volunteer,True
W00010,Worker-10,9834100922,1901,Drj-1901,,Supervisor,True
W00011,Worker-11,9839444979,1901,Drj-1901,,Volunteer,True
W00012,Worker-12,9844322008,1901,Drj-1901,,Supervisor,True
W00013,Worker-13,9896296772,1901,Drj-1901,,BLO,True
W00014,Worker-14,9861637783,1901,Drj-1901,,BLO,True
W00015,Worker-15,9853934739,1901,Drj-1901,,Supervisor,True
W00016,Worker-16,9853114718,1901,Drj-1901,,BLO,True
W00017,Worker-17,9821266269,1901,Drj-1901,,BLA,True
W00018,Worker-18,9886649176,1901,Drj-1901,,Supervisor,True
W00019,Worker-19,9887795029,1901,Drj-1901,,BLO,True
W00020,Worker-20,9899530965,1901,Drj-1901,,BLA,True
W00021,Worker-21,9841957445,1901,Drj-1901,,Supervisor,True
W00022,Worker-22,9827359252,1901,Drj-1901,,BLO,True
W00023,Worker-23,9813351188,1901,Drj-1901,,Volunteer,True
W00024,Worker-24,9854450547,1901,Drj-1901,,Volunteer,True
W00025,Worker-25,9875563301,1901,Drj-1901,,Volunteer,True
W00026,Worker-26,9881207508,1901,Drj-1901,,BLO,True
W00027,Worker-27,9848590901,1901,Drj-1901,,Volunteer,True
W00028,Worker-28,9814517627,1901,Drj-1901,,BLA,True
W00029,Worker-29,9864211802,1901,Drj-1901,,Supervisor,True
W00030,Worker-30,9820974008,1901,Drj-1901,,BLO,True
W00031,Worker-31,9881711446,1901,Drj-1901,,Volunteer,True
W00032,Worker-32,9855108497,1901,Drj-1901,,BLA,True
W00033,Worker-33,9869661524,1901,Drj-1901,,Volunteer,True
W00034,Worker-34,9874463737,1901,Drj-1901,,Supervisor,True
W00035,Worker-35,9822805155,1901,Drj-1901,,Volunteer,True
W00036,Worker-36,9835567631,1901,Drj-1901,,Volunteer,True
W00037,Worker-37,9889936305,1901,Drj-1901,,BLA,True
W00038,Worker-38,9887260578,1901,Drj-1901,,BLO,True
W00039,Worker-39,9845225924,1901,Drj-1901,,BLA,True
W00040,Worker-40,9813182176,1901,Drj-1901,,Supervisor,True
W00041,Worker-41,9884233811,1901,Drj-1901,,Volunteer,True
W00042,Worker-42,9821467678,1901,Drj-1901,,Supervisor,True
W00043,Worker-43,9896228545,1901,Drj-1901,,BLA,True
W00044,Worker-44,9872371929,1901,Drj-1901,,BLO,True
W00045,Worker-45,9885572048,1901,Drj-1901,,BLA,True
W00046,Worker-46,9890038890,1901,Drj-1901,,BLO,True
W00047,Worker-47,9861727893,1901,Drj-1901,,Supervisor,True
W00048,Worker-48,9857693786,1901,Drj-1901,,BLA,True
W00049,Worker-49,9841965521,1901,Drj-1901,,Supervisor,True
W00050,Worker-50,9885168174,1901,Drj-1901,,Volunteer,True
W00051,Worker-51,9842645943,1901,Drj-1901,,Supervisor,True
W00052,Worker-52,9874126101,1901,Drj-1901,,BLA,True
W00053,Worker-53,9824179133,1901,Drj-1901,,BLO,True
W00054,Worker-54,9810143218,1901,Drj-1901,,BLO,True
W00055,Worker-55,9849764996,1901,Drj-1901,,Supervisor,True
W00056,Worker-56,9884781720,1901,Drj-1901,,BLO,True
W00057,Worker-57,9882851912,1901,Drj-1901,,Volunteer,True
W00058,Worker-58,9838493129,1901,Drj-1901,,Volunteer,True
W00059,Worker-59,9819805109,1901,Drj-1901,,Volunteer,True
W00060,Worker-60,9881400497,1901,Drj-1901,,BLA,True
W00061,Worker-61,9849501953,1901,Drj-1901,,Supervisor,True
W00062,Worker-62,9897704346,1901,Drj-1901,,BLA,True
W00063,Worker-63,9887129132,1901,Drj-1901,,BLO,True
W00064,Worker-64,9857308344,1901,Drj-1901,,Supervisor,True
W00065,Worker-65,9857264048,1901,Drj-1901,,Volunteer,True
W00066,Worker-66,9839763908,1901,Drj-1901,,BLO,True
W00067,Worker-67,9881357735,1901,Drj-1901,,Volunteer,True
W00068,Worker-68,9866764026,1901,Drj-1901,,BLA,True
W00069,Worker-69,9873790886,1901,Drj-1901,,Volunteer,True
W00070,Worker-70,9827277727,1901,Drj-1901,,BLO,True
W00071,Worker-71,9892453490,1901,Drj-1901,,BLA,True
W00072,Worker-72,9818615294,1901,Drj-1901,,Supervisor,True
W00073,Worker-73,9890147546,1901,Drj-1901,,BLO,True
W00074,Worker-74,9846700844,1901,Drj-1901,,Volunteer,True
W00075,Worker-75,9854414605,1901,Drj-1901,,BLO,True
W00076,Worker-76,9845810814,1901,Drj-1901,,Supervisor,True
W00077,Worker-77,9864674838,1901,Drj-1901,,Supervisor,True
W00078,Worker-78,9811048120,1901,Drj-1901,,BLO,True
W00079,Worker-79,9879373912,1901,Drj-1901,,Supervisor,True
W00080,Worker-80,9869954693,1901,Drj-1901,,Volunteer,True
W00081,Worker-81,9822667572,1901,Drj-1901,,BLA,True
W00082,Worker-82,9821302417,1901,Drj-1901,,BLA,True
W00083,Worker-83,9859723980,1901,Drj-1901,,BLO,True
W00084,Worker-84,9836579045,1901,Drj-1901,,Supervisor,True
W00085,Worker-85,9874537084,1901,Drj-1901,,Volunteer,True
W00086,Worker-86,9853822209,1901,Drj-1901,,Supervisor,True
W00087,Worker-87,9861662692,1901,Drj-1901,,BLA,True
W00088,Worker-88,9892300017,1901,Drj-1901,,Volunteer,True
W00089,Worker-89,9840469039,1901,Drj-1901,,Volunteer,True
W00090,Worker-90,9855743017,1901,Drj-1901,,Supervisor,True
W00091,Worker-91,9883337230,1901,Drj-1901,,BLO,True
W00092,Worker-92,9812707799,1901,Drj-1901,,Supervisor,True
W00093,Worker-93,9829797696,1901,Drj-1901,,Supervisor,True
W00094,Worker-94,9830681241,1902,Drj-1902,,BLA,True
W00095,Worker-95,9835294812,1902,Drj-1902,,Supervisor,True
W00096,Worker-96,9851866015,1902,Drj-1902,,Supervisor,True
W00097,Worker-97,9845583254,1902,Drj-1902,,BLA,True
W00098,Worker-98,9879566183,1902,Drj-1902,,Volunteer,True
W00099,Worker-99,9810987638,1902,Drj-1902,,Supervisor,True
W00100,Worker-100,9822755670,1902,Drj-1902,,Volunteer,True
W00101,Worker-101,9894899967,1902,Drj-1902,,BLA,True
W00102,Worker-102,9879665570,1902,Drj-1902,,BLO,True
W00103,Worker-103,9810311699,1902,Drj-1902,,Supervisor,True
W00104,Worker-104,9827795744,1902,Drj-1902,,BLA,True
W00105,Worker-105,9829981321,1902,Drj-1902,,BLA,True
W00106,Worker-106,9853520228,1902,Drj-1902,,Supervisor,True
W00107,Worker-107,9885320379,1902,Drj-1902,,BLO,True
W00108,Worker-108,9845958969,1902,Drj-1902,,BLA,True
W00109,Worker-109,9897591932,1902,Drj-1902,,Volunteer,True
W00110,Worker-110,9844558913,1902,Drj-1902,,BLA,True
W00111,Worker-111,9890138829,1902,Drj-1902,,BLA,True
W00112,Worker-112,9851092167,1902,Drj-1902,,Volunteer,True
