worker_id,name,mobile,ac_code,ac_name,assigned_booth_part,tier,active
W00001,Worker-1,9848510224,401,Hgl-401,,Volunteer,True
W00002,Worker-2,9858650366,401,Hgl-401,,Supervisor,True
W00003,Worker-3,9822489018,401,Hgl-401,,BLO,True
W00004,Worker-4,9890671780,401,Hgl-401,,Supervisor,True
W00005,Worker-5,9886047315,401,Hgl-401,,BLO,True
W00006,Worker-6,9835782681,401,Hgl-401,,BLO,True
W00007,Worker-7,9833461548,401,Hgl-401,,BLO,True
W00008,Worker-8,9824359267,401,Hgl-401,,BLA,True
W00009,Worker-9,9854241478,401,Hgl-401,,BLO,True
W00010,Worker-10,9870082184,401,Hgl-401,,BLO,True
W00011,Worker-11,9841321524,401,Hgl-401,,BLA,True
W00012,Worker-12,9892539229,401,Hgl-401,,Supervisor,True
W00013,Worker-13,9824120788,401,Hgl-401,,BLA,True
W00014,Worker-14,9839233373,401,Hgl-401,,BLO,True
W00015,Worker-15,9895762917,401,Hgl-401,,BLO,True
W00016,Worker-16,9866179992,401,Hgl-401,,BLO,True
W00017,Worker-17,9872759367,401,Hgl-401,,Volunteer,True
W00018,Worker-18,9830521144,401,Hgl-401,,BLO,True
W00019,Worker-19,9861878809,401,Hgl-401,,Supervisor,True
W00020,Worker-20,9850850151,401,Hgl-401,,BLA,True
W00021,Worker-21,9824903737,401,Hgl-401,,Supervisor,True
W00022,Worker-22,9899655026,401,Hgl-401,,Volunteer,True
W00023,Worker-23,9893243803,401,Hgl-401,,Volunteer,True
W00024,Worker-24,9889511530,401,Hgl-401,,Supervisor,True
W00025,Worker-25,9871881948,401,Hgl-401,,Supervisor,True
W00026,Worker-26,9826890672,401,Hgl-401,,Supervisor,True
W00027,Worker-27,9811848809,401,Hgl-401,,BLO,True
W00028,Worker-28,9899621634,401,Hgl-401,,BLO,True
W00029,Worker-29,9894014982,401,Hgl-401,,BLO,True
W00030,Worker-30,9831363129,401,Hgl-401,,Supervisor,True
W00031,Worker-31,9836832829,401,Hgl-401,,Volunteer,True
W00032,Worker-32,9865961474,401,Hgl-401,,Supervisor,True
W00033,Worker-33,9861237731,401,Hgl-401,,BLO,True
W00034,Worker-34,9898175864,401,Hgl-401,,Volunteer,True
W00035,Worker-35,9844980426,401,Hgl-401,,BLA,True
W00036,Worker-36,9848505057,401,Hgl-401,,Supervisor,True
W00037,Worker-37,9861258860,401,Hgl-401,,Volunteer,True
W00038,Worker-38,9898278360,401,Hgl-401,,BLO,True
W00039,Worker-39,9877039669,401,Hgl-401,,Supervisor,True
W00040,Worker-40,9836578637,401,Hgl-401,,BLO,True
W00041,Worker-41,9820648321,401,Hgl-401,,Volunteer,True
W00042,Worker-42,9812487843,401,Hgl-401,,Supervisor,True
W00043,Worker-43,9851559109,401,Hgl-401,,BLA,True
W00044,Worker-44,9852891536,401,Hgl-401,,Supervisor,True
W00045,Worker-45,9842992079,401,Hgl-401,,Supervisor,True
W00046,Worker-46,9860983920,401,Hgl-401,,BLA,True
W00047,Worker-47,9882273475,401,Hgl-401,,Volunteer,True
W00048,Worker-48,9858494997,401,Hgl-401,,BLA,True
W00049,Worker-49,9897611483,401,Hgl-401,,BLO,True
W00050,Worker-50,9885437684,401,Hgl-401,,Volunteer,True
W00051,Worker-51,9823038292,401,Hgl-401,,BLO,True
W00052,Worker-52,9877973450,401,Hgl-401,,BLA,True
W00053,Worker-53,9884118638,401,Hgl-401,,BLA,True
W00054,Worker-54,9821920088,401,Hgl-401,,BLA,True
W00055,Worker-55,9834585363,401,Hgl-401,,BLO,True
W00056,Worker-56,9886330190,401,Hgl-401,,BLO,True
W00057,Worker-57,9833052279,401,Hgl-401,,BLA,True
W00058,Worker-58,9851363082,401,Hgl-401,,BLO,True
W00059,Worker-59,9879734301,401,Hgl-401,,BLO,True
W00060,Worker-60,9829594786,401,Hgl-401,,Volunteer,True
W00061,Worker-61,9810658261,401,Hgl-401,,BLA,True
W00062,Worker-62,9857152657,401,Hgl-401,,Volunteer,True
W00063,Worker-63,9815237687,401,Hgl-401,,Supervisor,True
W00064,Worker-64,9810379750,401,Hgl-401,,BLO,True
W00065,Worker-65,9816846412,401,Hgl-401,,Volunteer,True
W00066,Worker-66,9850885407,401,Hgl-401,,Volunteer,True
W00067,Worker-67,9868039273,401,Hgl-401,,Supervisor,True
W00068,Worker-68,9818813732,401,Hgl-401,,Volunteer,True
W00069,Worker-69,9814935157,401,Hgl-401,,Volunteer,True
W00070,Worker-70,9884048369,401,Hgl-401,,BLO,True
W00071,Worker-71,9843289239,401,Hgl-401,,Supervisor,True
W00072,Worker-72,9813246056,401,Hgl-401,,BLA,True
W00073,Worker-73,9889848865,401,Hgl-401,,Volunteer,True
W00074,Worker-74,9855743315,401,Hgl-401,,BLA,True
W00075,Worker-75,9893275249,401,Hgl-401,,Supervisor,True
W00076,Worker-76,9820853850,401,Hgl-401,,BLO,True
W00077,Worker-77,9847074213,401,Hgl-401,,BLO,True
W00078,Worker-78,9878790073,401,Hgl-401,,Volunteer,True
W00079,Worker-79,9841882469,401,Hgl-401,,BLA,True
W00080,Worker-80,9855656289,401,Hgl-401,,Volunteer,True
W00081,Worker-81,9825191419,401,Hgl-401,,BLA,True
W00082,Worker-82,9829045198,401,Hgl-401,,BLO,True
W00083,Worker-83,9871268386,401,Hgl-401,,BLO,True
W00084,Worker-84,9863864841,401,Hgl-401,,Supervisor,True
W00085,Worker-85,9814108595,401,Hgl-401,,Volunteer,True
W00086,Worker-86,9816802760,401,Hgl-401,,Supervisor,True
W00087,Worker-87,9898908017,401,Hgl-401,,BLO,True
W00088,Worker-88,9832055387,401,Hgl-401,,BLA,True
W00089,Worker-89,9862713831,402,Hgl-402,,Supervisor,True
W00090,Worker-90,9883046263,402,Hgl-402,,BLA,True
W00091,Worker-91,9837827237,402,Hgl-402,,BLO,True
W00092,Worker-92,9861117148,402,Hgl-402,,BLA,True
W00093,Worker-93,9863801296,402,Hgl-402,,Volunteer,True
W00094,Worker-94,9846512720,402,Hgl-402,,BLA,True
W00095,Worker-95,9874934726,402,Hgl-402,,Volunteer,True
W00096,Worker-96,9891866783,402,Hgl-402,,BLA,True
W00097,Worker-97,9884433801,402,Hgl-402,,BLO,True
W00098,Worker-98,9879855347,402,Hgl-402,,BLO,True
W00099,Worker-99,9859531064,402,Hgl-402,,Volunteer,True
W00100,Worker-100,9824786159,402,Hgl-402,,BLA,True
W00101,Worker-101,9888399325,402,Hgl-402,,Supervisor,True
W00102,Worker-102,9883290705,402,Hgl-402,,BLO,True
W00103,Worker-103,9819373273,402,Hgl-402,,Supervisor,True
W00104,Worker-104,9850870694,402,Hgl-402,,BLA,True
W00105,Worker-105,9832492829,402,Hgl-402,,BLO,True
W00106,Worker-106,9822408516,402,Hgl-402,,BLA,True
W00107,Worker-107,9833728088,402,Hgl-402,,Volunteer,True
W00108,Worker-108,9870507844,402,Hgl-402,,Volunteer,True
W00109,Worker-109,9843980012,402,Hgl-402,,BLO,True
W00110,Worker-110,9872612277,402,Hgl-402,,Supervisor,True
W00111,Worker-111,9864380614,402,Hgl-402,,Volunteer,True
W00112,Worker-112,9864511514,402,Hgl-402,,BLA,True
W00113,Worker-113,9843990859,402,Hgl-402,,Volunteer,True
W00114,Worker-114,9876984444,402,Hgl-402,,BLO,True
W00115,Worker-115,9868398171,402,Hgl-402,,BLA,True
W00116,Worker-116,9868285949,402,Hgl-402,,Volunteer,True
W00117,Worker-117,9824114617,402,Hgl-402,,Supervisor,True
W00118,Worker-118,9821350635,402,Hgl-402,,BLO,True
W00119,Worker-119,9857940029,402,Hgl-402,,BLA,True
W00120,Worker-120,9873944763,402,Hgl-402,,Supervisor,True
W00121,Worker-121,9837992834,402,Hgl-402,,BLA,True
W00122,Worker-122,9886498073,402,Hgl-402,,Supervisor,True
W00123,Worker-123,9879750280,402,Hgl-402,,Supervisor,True
W00124,Worker-124,9898121552,402,Hgl-402,,BLA,True
W00125,Worker-125,9891584207,402,Hgl-402,,BLA,True
W00126,Worker-126,9880655435,402,Hgl-402,,BLA,True
W00127,Worker-127,9891721277,402,Hgl-402,,Supervisor,True
W00128,Worker-128,9876461105,402,Hgl-402,,Volunteer,True
W00129,Worker-129,9862177740,402,Hgl-402,,BLA,True
W00130,Worker-130,9840876847,402,Hgl-402,,BLO,True
W00131,Worker-131,9814759397,402,Hgl-402,,BLA,True
W00132,Worker-132,9831863751,402,Hgl-402,,Volunteer,True
W00133,Worker-133,9810192353,402,Hgl-402,,Volunteer,True
W00134,Worker-134,9852648734,402,Hgl-402,,Supervisor,True
W00135,Worker-135,9825557176,402,Hgl-402,,Volunteer,True
W00136,Worker-136,9840973069,402,Hgl-402,,Supervisor,True
W00137,Worker-137,9843201593,402,Hgl-402,,BLA,True
W00138,Worker-138,9874189307,402,Hgl-402,,Volunteer,True
W00139,Worker-139,9816196802,402,Hgl-402,,BLA,True
W00140,Worker-140,9851565235,402,Hgl-402,,Volunteer,True
W00141,Worker-141,9856861988,402,Hgl-402,,BLO,True
W00142,Worker-142,9841377342,402,Hgl-402,,Supervisor,True
W00143,Worker-143,9860089832,402,Hgl-402,,Supervisor,True
W00144,Worker-144,9822937019,402,Hgl-402,,BLA,True
W00145,Worker-145,9855975690,402,Hgl-402,,BLA,True
W00146,Worker-146,9843830743,402,Hgl-402,,Volunteer,True
W00147,Worker-147,9867822787,402,Hgl-402,,BLO,True
W00148,Worker-148,9863905241,402,Hgl-402,,BLA,True
W00149,Worker-149,9885559270,402,Hgl-402,,BLO,True
W00150,Worker-150,9838470147,402,Hgl-402,,BLO,True
W00151,Worker-151,9848468038,402,Hgl-402,,Supervisor,True
W00152,Worker-152,9884017780,403,Hgl-403,,Supervisor,True
W00153,Worker-153,9864710817,403,Hgl-403,,Supervisor,True
W00154,Worker-154,9827697424,403,Hgl-403,,BLO,True
W00155,Worker-155,9874324259,403,Hgl-403,,Volunteer,True
W00156,Worker-156,9847131773,403,Hgl-403,,Supervisor,True
W00157,Worker-157,9877959702,403,Hgl-403,,Volunteer,True
W00158,Worker-158,9830719056,403,Hgl-403,,BLA,True
W00159,Worker-159,9876374708,403,Hgl-403,,Supervisor,True
W00160,Worker-160,9845230737,403,Hgl-403,,BLA,True
W00161,Worker-161,9879291470,403,Hgl-403,,BLO,True
W00162,Worker-162,9861854335,403,Hgl-403,,BLO,True
W00163,Worker-163,9818224055,403,Hgl-403,,BLA,True
W00164,Worker-164,9870043336,403,Hgl-403,,BLA,True
W00165,Worker-165,9827219775,403,Hgl-403,,BLO,True
W00166,Worker-166,9885235564,403,Hgl-403,,Supervisor,True
W00167,Worker-167,9859404795,403,Hgl-403,,BLO,True
W00168,Worker-168,9832067708,403,Hgl-403,,BLO,True
W00169,Worker-169,9845286801,403,Hgl-403,,BLA,True
W00170,Worker-170,9849519288,403,Hgl-403,,BLA,True
W00171,Worker-171,9880619105,403,Hgl-403,,BLA,True
W00172,Worker-172,9884071644,403,Hgl-403,,BLO,True
W00173,Worker-173,9856127824,403,Hgl-403,,BLO,True
W00174,Worker-174,9833226145,403,Hgl-403,,Supervisor,True
W00175,Worker-175,9886471436,403,Hgl-403,,Supervisor,True
W00176,Worker-176,9873373565,403,Hgl-403,,BLO,True
W00177,Worker-177,9848137101,403,Hgl-403,,Volunteer,True
W00178,Worker-178,9849680642,403,Hgl-403,,BLA,True
W00179,Worker-179,9865683175,403,Hgl-403,,Volunteer,True
W00180,Worker-180,9889989090,403,Hgl-403,,Volunteer,True
W00181,Worker-181,9843969737,403,Hgl-403,,BLO,True
W00182,Worker-182,9891230931,403,Hgl-403,,Supervisor,True
W00183,Worker-183,9899519151,403,Hgl-403,,Volunteer,True
W00184,Worker-184,9878460314,403,Hgl-403,,Volunteer,True
W00185,Worker-185,9899867364,403,Hgl-403,,BLO,True
W00186,Worker-186,9860628294,403,Hgl-403,,BLA,True
W00187,Worker-187,9817785021,403,Hgl-403,,BLA,True
W00188,Worker-188,9824083261,403,Hgl-403,,Supervisor,True
W00189,Worker-189,9886462039,403,Hgl-403,,Supervisor,True
W00190,Worker-190,9833273932,403,Hgl-403,,BLO,True
W00191,Worker-191,9867855404,403,Hgl-403,,Volunteer,True
W00192,Worker-192,9835299918,403,Hgl-403,,BLA,True
W00193,Worker-193,9837822034,403,Hgl-403,,Volunteer,True
W00194,Worker-194,9842399557,403,Hgl-403,,Volunteer,True
W00195,Worker-195,9818024765,403,Hgl-403,,BLA,True
W00196,Worker-196,9850299927,403,Hgl-403,,BLA,True
W00197,Worker-197,9836797191,403,Hgl-403,,Volunteer,True
W00198,Worker-198,9867530097,403,Hgl-403,,Volunteer,True
W00199,Worker-199,9876949761,403,Hgl-403,,Volunteer,True
W00200,Worker-200,9847618399,403,Hgl-403,,BLO,True
W00201,Worker-201,9816379672,403,Hgl-403,,Volunteer,True
W00202,Worker-202,9826095644,403,Hgl-403,,BLA,True
W00203,Worker-203,9897727414,403,Hgl-403,,Supervisor,True
W00204,Worker-204,9869756245,403,Hgl-403,,Supervisor,True
W00205,Worker-205,9819152363,403,Hgl-403,,Volunteer,True
W00206,Worker-206,9873322668,403,Hgl-403,,Supervisor,True
W00207,Worker-207,9883485356,403,Hgl-403,,BLO,True
W00208,Worker-208,9879303020,403,Hgl-403,,Volunteer,True
W00209,Worker-209,9866197562,403,Hgl-403,,BLO,True
W00210,Worker-210,9868422486,403,Hgl-403,,Volunteer,True
W00211,Worker-211,9872858491,403,Hgl-403,,Volunteer,True
W00212,Worker-212,9813756093,403,Hgl-403,,BLO,True
W00213,Worker-213,9839321821,403,Hgl-403,,Volunteer,True
W00214,Worker-214,9888078278,403,Hgl-403,,Supervisor,True
W00215,Worker-215,9888466644,403,Hgl-403,,Volunteer,True
W00216,Worker-216,9819669595,403,Hgl-403,,Supervisor,True
W00217,Worker-217,9818626960,403,Hgl-403,,Volunteer,True
W00218,Worker-218,9869840669,403,Hgl-403,,BLA,True
W00219,Worker-219,9874502919,403,Hgl-403,,Volunteer,True
W00220,Worker-220,9893176705,403,Hgl-403,,Volunteer,True
W00221,Worker-221,9883030288,403,Hgl-403,,BLO,True
W00222,Worker-222,9862073518,403,Hgl-403,,BLA,True
W00223,Worker-223,9833322248,403,Hgl-403,,Volunteer,True
W00224,Worker-224,9814604187,403,Hgl-403,,Supervisor,True
W00225,Worker-225,9868903487,403,Hgl-403,,BLO,True
W00226,Worker-226,9860993778,403,Hgl-403,,Supervisor,True
W00227,Worker-227,9846292161,403,Hgl-403,,Volunteer,True
W00228,Worker-228,9819429500,403,Hgl-403,,Supervisor,True
W00229,Worker-229,9887492253,403,Hgl-403,,BLA,True
W00230,Worker-230,9831562101,403,Hgl-403,,BLA,True
W00231,Worker-231,9866188832,403,Hgl-403,,BLO,True
W00232,Worker-232,9846876844,403,Hgl-403,,BLA,True
W00233,Worker-233,9870288090,403,Hgl-403,,Supervisor,True
W00234,Worker-234,9829856243,403,Hgl-403,,BLO,True
W00235,Worker-235,9845847434,403,Hgl-403,,Volunteer,True
W00236,Worker-236,9895726415,403,Hgl-403,,BLA,True
W00237,Worker-237,9878821116,403,Hgl-403,,BLO,True
W00238,Worker-238,9857238747,403,Hgl-403,,BLO,True
W00239,Worker-239,9813110230,403,Hgl-403,,Volunteer,True
W00240,Worker-240,9852890785,403,Hgl-403,,BLO,True
W00241,Worker-241,9891791396,403,Hgl-403,,BLA,True
W00242,Worker-242,9867839467,403,Hgl-403,,Volunteer,True
W00243,Worker-243,9887912243,403,Hgl-403,,BLA,True
W00244,Worker-244,9870155773,403,Hgl-403,,BLA,True
W00245,Worker-245,9895868221,403,Hgl-403,,Volunteer,True
W00246,Worker-246,9895994635,404,Hgl-404,,BLA,True
W00247,Worker-247,9845402069,404,Hgl-404,,BLO,True
W00248,Worker-248,9883515845,404,Hgl-404,,BLA,True
W00249,Worker-249,9885520120,404,Hgl-404,,BLO,True
W00250,Worker-250,9878444198,404,Hgl-404,,BLO,True
W00251,Worker-251,9878257808,404,Hgl-404,,BLO,True
W00252,Worker-252,9822972069,404,Hgl-404,,BLA,True
W00253,Worker-253,9854193503,404,Hgl-404,,Volunteer,True
W00254,Worker-254,9813412986,404,Hgl-404,,Supervisor,True
W00255,Worker-255,9891666979,404,Hgl-404,,BLA,True
W00256,Worker-256,9839031651,404,Hgl-404,,BLO,True
W00257,Worker-257,9822314564,404,Hgl-404,,BLO,True
W00258,Worker-258,9847174344,404,Hgl-404,,BLO,True
W00259,Worker-259,9859341303,404,Hgl-404,,Supervisor,True
W00260,Worker-260,9817237991,404,Hgl-404,,BLA,True
W00261,Worker-261,9894792560,404,Hgl-404,,Volunteer,True
W00262,Worker-262,9835594956,404,Hgl-404,,Supervisor,True
W00263,Worker-263,9891711159,404,Hgl-404,,Volunteer,True
W00264,Worker-264,9852236593,404,Hgl-404,,Supervisor,True
W00265,Worker-265,9864605114,404,Hgl-404,,BLO,True
W00266,Worker-266,9815586483,404,Hgl-404,,BLO,True
W00267,Worker-267,9840025388,404,Hgl-404,,Supervisor,True
W00268,Worker-268,9858953541,404,Hgl-404,,BLO,True
W00269,Worker-269,9897102274,404,Hgl-404,,BLA,True
W00270,Worker-270,9888076188,404,Hgl-404,,BLO,True
W00271,Worker-271,9835684464,404,Hgl-404,,BLA,True
