worker_id,name,mobile,ac_code,ac_name,assigned_booth_part,tier,active
W00001,Worker-1,9839429368,701,Hwr-701,,Supervisor,True
W00002,Worker-2,9899032250,701,Hwr-701,,Volunteer,True
W00003,Worker-3,9883272704,701,Hwr-701,,Volunteer,True
W00004,Worker-4,9827675224,701,Hwr-701,,Volunteer,True
W00005,Worker-5,9857600808,701,Hwr-701,,Volunteer,True
W00006,Worker-6,9876624601,701,Hwr-701,,Volunteer,True
W00007,Worker-7,9847234961,701,Hwr-701,,BLO,True
W00008,Worker-8,9844675193,701,Hwr-701,,Supervisor,True
W00009,Worker-9,9853605687,701,Hwr-701,,Supervisor,True
W00010,Worker-10,9810458419,701,Hwr-701,,Volunteer,True
W00011,Worker-11,9896480398,701,Hwr-701,,Volunteer,True
W00012,Worker-12,9848320534,701,Hwr-701,,Supervisor,True
W00013,Worker-13,9836173840,701,Hwr-701,,Supervisor,True
W00014,Worker-14,9838624375,701,Hwr-701,,Supervisor,True
W00015,Worker-15,9818448219,701,Hwr-701,,Supervisor,True
W00016,Worker-16,9825214116,701,Hwr-701,,Volunteer,True
W00017,Worker-17,9820979096,701,Hwr-701,,BLO,True
W00018,Worker-18,9886224682,701,Hwr-701,,BLA,True
W00019,Worker-19,9839273854,701,Hwr-701,,Volunteer,True
W00020,Worker-20,9898984943,701,Hwr-701,,Volunteer,True
W00021,Worker-21,9822008242,701,Hwr-701,,Supervisor,True
W00022,Worker-22,9819556752,701,Hwr-701,,BLO,True
W00023,Worker-23,9844416107,701,Hwr-701,,Supervisor,True
W00024,Worker-24,9824367421,701,Hwr-701,,Volunteer,True
W00025,Worker-25,9867927965,701,Hwr-701,,Supervisor,True
W00026,Worker-26,9823795226,701,Hwr-701,,Volunteer,True
W00027,Worker-27,9844602033,701,Hwr-701,,BLO,True
W00028,Worker-28,9844066451,701,Hwr-701,,BLO,True
W00029,Worker-29,9867938675,701,Hwr-701,,Volunteer,True
W00030,Worker-30,9895700651,701,Hwr-701,,BLO,True
W00031,Worker-31,9873728042,701,Hwr-701,,Volunteer,True
W00032,Worker-32,9871406821,701,Hwr-701,,Volunteer,True
W00033,Worker-33,9879453896,701,Hwr-701,,Supervisor,True
W00034,Worker-34,9884331907,701,Hwr-701,,Supervisor,True
W00035,Worker-35,9824411515,701,Hwr-701,,Supervisor,True
W00036,Worker-36,9869514750,701,Hwr-701,,BLO,True
W00037,Worker-37,9857573041,701,Hwr-701,,BLA,True
W00038,Worker-38,9877192570,701,Hwr-701,,Supervisor,True
