worker_id,name,mobile,ac_code,ac_name,assigned_booth_part,tier,active
W00001,Worker-1,9859053602,2001,Jhr-2001,,Volunteer,True
W00002,Worker-2,9866350693,2001,Jhr-2001,,Supervisor,True
W00003,Worker-3,9890100216,2001,Jhr-2001,,BLA,True
W00004,Worker-4,9832539469,2001,Jhr-2001,,BLO,True
W00005,Worker-5,9846037405,2001,Jhr-2001,,Supervisor,True
W00006,Worker-6,9848691790,2001,Jhr-2001,,Supervisor,True
W00007,Worker-7,9855830850,2001,Jhr-2001,,Volunteer,True
W00008,Worker-8,9842541897,2001,Jhr-2001,,BLO,True
W00009,Worker-9,9832507325,2001,Jhr-2001,,BLA,True
W00010,Worker-10,9876106484,2001,Jhr-2001,,BLA,True
W00011,Worker-11,9869953453,2001,Jhr-2001,,Supervisor,True
W00012,Worker-12,9862777042,2001,Jhr-2001,,Volunteer,True
W00013,Worker-13,9859929216,2001,Jhr-2001,,Supervisor,True
W00014,Worker-14,9835865099,2001,Jhr-2001,,BLO,True
W00015,Worker-15,9890539900,2001,Jhr-2001,,Supervisor,True
W00016,Worker-16,9885555351,2001,Jhr-2001,,Volunteer,True
W00017,Worker-17,9840928783,2001,Jhr-2001,,Supervisor,True
W00018,Worker-18,9856493162,2001,Jhr-2001,,Volunteer,True
W00019,Worker-19,9889151942,2001,Jhr-2001,,Supervisor,True
W00020,Worker-20,9838419648,2001,Jhr-2001,,BLA,True
W00021,Worker-21,9864953493,2001,Jhr-2001,,Volunteer,True
W00022,Worker-22,9835770516,2001,Jhr-2001,,BLO,True
W00023,Worker-23,9889898160,2001,Jhr-2001,,BLO,True
W00024,Worker-24,9877654012,2001,Jhr-2001,,BLO,True
W00025,Worker-25,9851967319,2001,Jhr-2001,,Supervisor,True
W00026,Worker-26,9829310569,2001,Jhr-2001,,BLO,True
W00027,Worker-27,9848477115,2001,Jhr-2001,,Volunteer,True
W00028,Worker-28,9855346658,2001,Jhr-2001,,BLA,True
W00029,Worker-29,9842978722,2001,Jhr-2001,,Supervisor,True
W00030,Worker-30,9864824267,2001,Jhr-2001,,BLO,True
W00031,Worker-31,9851729394,2001,Jhr-2001,,Supervisor,True
W00032,Worker-32,9878487220,2001,Jhr-2001,,Volunteer,True
W00033,Worker-33,9836495372,2001,Jhr-2001,,BLO,True
W00034,Worker-34,9850630466,2001,Jhr-2001,,BLA,True
W00035,Worker-35,9882525497,2001,Jhr-2001,,Volunteer,True
W00036,Worker-36,9820087263,2001,Jhr-2001,,BLO,True
W00037,Worker-37,9891705426,2001,Jhr-2001,,Volunteer,True
W00038,Worker-38,9897807897,2001,Jhr-2001,,Volunteer,True
W00039,Worker-39,9866556191,2001,Jhr-2001,,BLO,True
W00040,Worker-40,9811540853,2001,Jhr-2001,,BLA,True
W00041,Worker-41,9890349977,2001,Jhr-2001,,Volunteer,True
W00042,Worker-42,9876463432,2001,Jhr-2001,,BLA,True
W00043,Worker-43,9848348761,2001,Jhr-2001,,BLO,True
W00044,Worker-44,9884495468,2001,Jhr-2001,,Volunteer,True
W00045,Worker-45,9883163469,2001,Jhr-2001,,Volunteer,True
W00046,Worker-46,9846942588,2001,Jhr-2001,,BLA,True
W00047,Worker-47,9891958969,2001,Jhr-2001,,BLO,True
W00048,Worker-48,9842439058,2001,Jhr-2001,,Supervisor,True
W00049,Worker-49,9896380628,2001,Jhr-2001,,Supervisor,True
W00050,Worker-50,9853184502,2001,Jhr-2001,,Volunteer,True
W00051,Worker-51,9867806388,2001,Jhr-2001,,Supervisor,True
W00052,Worker-52,9855244412,2001,Jhr-2001,,BLO,True
W00053,Worker-53,9855808091,2001,Jhr-2001,,Supervisor,True
W00054,Worker-54,9898513902,2001,Jhr-2001,,Supervisor,True
W00055,Worker-55,9893189907,2001,Jhr-2001,,Volunteer,True
W00056,Worker-56,9824168176,2001,Jhr-2001,,Supervisor,True
W00057,Worker-57,9827628957,2001,Jhr-2001,,Supervisor,True
W00058,Worker-58,9818439264,2001,Jhr-2001,,Supervisor,True
W00059,Worker-59,9892369827,2001,Jhr-2001,,Supervisor,True
W00060,Worker-60,9872225089,2001,Jhr-2001,,BLO,True
W00061,Worker-61,9824318924,2001,Jhr-2001,,BLO,True
W00062,Worker-62,9870710009,2001,Jhr-2001,,Volunteer,True
W00063,Worker-63,9857570937,2001,Jhr-2001,,BLO,True
W00064,Worker-64,9836984211,2001,Jhr-2001,,Volunteer,True
W00065,Worker-65,9864176933,2001,Jhr-2001,,Supervisor,True
W00066,Worker-66,9838410104,2001,Jhr-2001,,BLO,True
W00067,Worker-67,9869234858,2001,Jhr-2001,,BLA,True
W00068,Worker-68,9813870464,2001,Jhr-2001,,BLO,True
W00069,Worker-69,9876743388,2001,Jhr-2001,,Supervisor,True
W00070,Worker-70,9878328731,2001,Jhr-2001,,Volunteer,True
W00071,Worker-71,9826296416,2001,Jhr-2001,,Supervisor,True
W00072,Worker-72,9828636642,2001,Jhr-2001,,Supervisor,True
W00073,Worker-73,9867830161,2001,Jhr-2001,,BLA,True
W00074,Worker-74,9884876767,2001,Jhr-2001,,BLO,True
W00075,Worker-75,9831439534,2001,Jhr-2001,,BLA,True
W00076,Worker-76,9873716784,2001,Jhr-2001,,Supervisor,True
W00077,Worker-77,9899502986,2001,Jhr-2001,,Supervisor,True
W00078,Worker-78,9824431704,2001,Jhr-2001,,BLO,True
W00079,Worker-79,9865950160,2001,Jhr-2001,,BLA,True
W00080,Worker-80,9891145189,2001,Jhr-2001,,Supervisor,True
W00081,Worker-81,9842812545,2001,Jhr-2001,,BLA,True
W00082,Worker-82,9840356445,2001,Jhr-2001,,BLA,True
W00083,Worker-83,9838250827,2001,Jhr-2001,,BLO,True
W00084,Worker-84,9865201089,2001,Jhr-2001,,Supervisor,True
W00085,Worker-85,9817382524,2001,Jhr-2001,,Volunteer,True
W00086,Worker-86,9859674812,2001,Jhr-2001,,BLO,True
W00087,Worker-87,9843516654,2001,Jhr-2001,,BLO,True
W00088,Worker-88,9832325997,2001,Jhr-2001,,BLO,True
W00089,Worker-89,9872641415,2002,Jhr-2002,,Supervisor,True
W00090,Worker-90,9823964080,2002,Jhr-2002,,BLO,True
W00091,Worker-91,9888066025,2002,Jhr-2002,,Volunteer,True
W00092,Worker-92,9890852917,2002,Jhr-2002,,Volunteer,True
W00093,Worker-93,9891537726,2002,Jhr-2002,,BLO,True
W00094,Worker-94,9897123613,2002,Jhr-2002,,Supervisor,True
W00095,Worker-95,9894503534,2002,Jhr-2002,,BLO,True
W00096,Worker-96,9876750216,2002,Jhr-2002,,Volunteer,True
W00097,Worker-97,9849088476,2002,Jhr-2002,,BLA,True
W00098,Worker-98,9846588732,2002,Jhr-2002,,BLO,True
W00099,Worker-99,9842356397,2002,Jhr-2002,,Supervisor,True
W00100,Worker-100,9857037371,2002,Jhr-2002,,Supervisor,True
W00101,Worker-101,9840196699,2002,Jhr-2002,,BLO,True
W00102,Worker-102,9874089118,2002,Jhr-2002,,Volunteer,True
W00103,Worker-103,9839590990,2002,Jhr-2002,,Volunteer,True
W00104,Worker-104,9890774194,2002,Jhr-2002,,BLA,True
W00105,Worker-105,9856508813,2002,Jhr-2002,,Volunteer,True
W00106,Worker-106,9813898762,2002,Jhr-2002,,BLO,True
W00107,Worker-107,9815822058,2002,Jhr-2002,,Supervisor,True
W00108,Worker-108,9864025244,2002,Jhr-2002,,Supervisor,True
W00109,Worker-109,9813464163,2002,Jhr-2002,,Volunteer,True
W00110,Worker-110,9832332670,2002,Jhr-2002,,Volunteer,True
W00111,Worker-111,9833281818,2002,Jhr-2002,,Supervisor,True
W00112,Worker-112,9899121061,2002,Jhr-2002,,BLO,True
W00113,Worker-113,9850953233,2002,Jhr-2002,,Supervisor,True
W00114,Worker-114,9887004069,2002,Jhr-2002,,Supervisor,True
W00115,Worker-115,9862424647,2002,Jhr-2002,,BLO,True
W00116,Worker-116,9857248545,2002,Jhr-2002,,Supervisor,True
W00117,Worker-117,9883536327,2002,Jhr-2002,,BLO,True
W00118,Worker-118,9861466126,2002,Jhr-2002,,Volunteer,True
W00119,Worker-119,9860869948,2002,Jhr-2002,,Volunteer,True
W00120,Worker-120,9842419935,2002,Jhr-2002,,BLO,True
W00121,Worker-121,9826598653,2002,Jhr-2002,,Volunteer,True
W00122,Worker-122,9853182501,2002,Jhr-2002,,BLA,True
W00123,Worker-123,9846629286,2002,Jhr-2002,,BLA,True
W00124,Worker-124,9856988421,2002,Jhr-2002,,BLO,True
W00125,Worker-125,9899270099,2002,Jhr-2002,,Supervisor,True
W00126,Worker-126,9877943616,2002,Jhr-2002,,Volunteer,True
W00127,Worker-127,9894436221,2002,Jhr-2002,,Supervisor,True
W00128,Worker-128,9835393322,2002,Jhr-2002,,BLA,True
W00129,Worker-129,9856743489,2002,Jhr-2002,,Volunteer,True
W00130,Worker-130,9899530887,2002,Jhr-2002,,BLO,True
W00131,Worker-131,9811673994,2002,Jhr-2002,,Volunteer,True
W00132,Worker-132,9889047260,2002,Jhr-2002,,Volunteer,True
W00133,Worker-133,9828054044,2002,Jhr-2002,,BLO,True
W00134,Worker-134,9843046820,2002,Jhr-2002,,Supervisor,True
W00135,Worker-135,9832171743,2002,Jhr-2002,,Supervisor,True
W00136,Worker-136,9873381594,2002,Jhr-2002,,BLA,True
W00137,Worker-137,9843310392,2002,Jhr-2002,,Supervisor,True
W00138,Worker-138,9827186344,2002,Jhr-2002,,Supervisor,True
W00139,Worker-139,9839193383,2002,Jhr-2002,,BLO,True
W00140,Worker-140,9814793572,2002,Jhr-2002,,Volunteer,True
W00141,Worker-141,9869928733,2002,Jhr-2002,,Supervisor,True
W00142,Worker-142,9827110676,2002,Jhr-2002,,Supervisor,True
W00143,Worker-143,9888411510,2002,Jhr-2002,,Volunteer,True
W00144,Worker-144,9814319654,2002,Jhr-2002,,Volunteer,True
W00145,Worker-145,9858153800,2002,Jhr-2002,,Supervisor,True
W00146,Worker-146,9880306167,2002,Jhr-2002,,Supervisor,True
W00147,Worker-147,9889628867,2002,Jhr-2002,,BLO,True
W00148,Worker-148,9852503477,2002,Jhr-2002,,Volunteer,True
W00149,Worker-149,9828131851,2003,Jhr-2003,,Supervisor,True
W00150,Worker-150,9859418758,2003,Jhr-2003,,BLO,True
W00151,Worker-151,9850915249,2003,Jhr-2003,,Volunteer,True
W00152,Worker-152,9877854992,2003,Jhr-2003,,BLO,True
W00153,Worker-153,9844446348,2003,Jhr-2003,,Supervisor,True
W00154,Worker-154,9882593194,2003,Jhr-2003,,Volunteer,True
W00155,Worker-155,9855473780,2003,Jhr-2003,,Supervisor,True
W00156,Worker-156,9845737664,2003,Jhr-2003,,Supervisor,True
W00157,Worker-157,9883390434,2003,Jhr-2003,,BLO,True
W00158,Worker-158,9810697299,2003,Jhr-2003,,Volunteer,True
W00159,Worker-159,9840280644,2003,Jhr-2003,,Supervisor,True
W00160,Worker-160,9899831425,2003,Jhr-2003,,Supervisor,True
W00161,Worker-161,9811356702,2003,Jhr-2003,,Volunteer,True
W00162,Worker-162,9864343539,2003,Jhr-2003,,Supervisor,True
W00163,Worker-163,9838556786,2003,Jhr-2003,,BLO,True
