worker_id,name,mobile,ac_code,ac_name,assigned_booth_part,tier,active
W00001,Worker-1,9879502139,2201,Klp-2201,,BLA,True
W00002,Worker-2,9895885672,2201,Klp-2201,,BLA,True
W00003,Worker-3,9827777880,2201,Klp-2201,,Supervisor,True
W00004,Worker-4,9825157254,2201,Klp-2201,,BLA,True
W00005,Worker-5,9896581754,2201,Klp-2201,,Supervisor,True
W00006,Worker-6,9859797533,2201,Klp-2201,,Supervisor,True
W00007,Worker-7,9848608907,2201,Klp-2201,,Supervisor,True
W00008,Worker-8,9865795685,2201,Klp-2201,,Volunteer,True
W00009,Worker-9,9835609290,2201,Klp-2201,,BLA,True
W00010,Worker-10,9832774634,2201,Klp-2201,,BLA,True
W00011,Worker-11,9876000156,2201,Klp-2201,,Supervisor,True
W00012,Worker-12,9850642715,2201,Klp-2201,,BLO,True
W00013,Worker-13,9829302138,2201,Klp-2201,,BLA,True
W00014,Worker-14,9849669470,2201,Klp-2201,,BLA,True
W00015,Worker-15,9824618879,2201,Klp-2201,,Supervisor,True
W00016,Worker-16,9862730406,2201,Klp-2201,,Volunteer,True
W00017,Worker-17,9891681377,2201,Klp-2201,,Supervisor,True
W00018,Worker-18,9843480159,2201,Klp-2201,,BLA,True
W00019,Worker-19,9871258185,2201,Klp-2201,,BLO,True
W00020,Worker-20,9895123440,2201,Klp-2201,,Supervisor,True
W00021,Worker-21,9828193011,2201,Klp-2201,,BLA,True
W00022,Worker-22,9819729305,2201,Klp-2201,,Supervisor,True
W00023,Worker-23,9833235558,2201,Klp-2201,,BLA,True
W00024,Worker-24,9872810067,2201,Klp-2201,,BLA,True
W00025,Worker-25,9837320120,2201,Klp-2201,,BLA,True
W00026,Worker-26,9840815826,2201,Klp-2201,,Supervisor,True
W00027,Worker-27,9865043255,2201,Klp-2201,,Volunteer,True
W00028,Worker-28,9885152003,2201,Klp-2201,,Volunteer,True
W00029,Worker-29,9826437081,2201,Klp-2201,,Supervisor,True
W00030,Worker-30,9878557838,2201,Klp-2201,,BLO,True
W00031,Worker-31,9873926507,2201,Klp-2201,,BLA,True
W00032,Worker-32,9852919118,2201,Klp-2201,,Volunteer,True
W00033,Worker-33,9872056545,2201,Klp-2201,,BLO,True
W00034,Worker-34,9832398487,2201,Klp-2201,,BLA,True
W00035,Worker-35,9834837979,2201,Klp-2201,,Volunteer,True
W00036,Worker-36,9840096324,2201,Klp-2201,,BLA,True
W00037,Worker-37,9882368439,2201,Klp-2201,,Volunteer,True
W00038,Worker-38,9868946392,2201,Klp-2201,,BLA,True
W00039,Worker-39,9891636488,2201,Klp-2201,,Supervisor,True
W00040,Worker-40,9834582074,2201,Klp-2201,,BLO,True
W00041,Worker-41,9831942986,2201,Klp-2201,,Supervisor,True
W00042,Worker-42,9810055349,2201,Klp-2201,,BLO,True
W00043,Worker-43,9855970202,2201,Klp-2201,,BLO,True
W00044,Worker-44,9892655296,2201,Klp-2201,,Supervisor,True
W00045,Worker-45,9811028278,2201,Klp-2201,,BLA,True
W00046,Worker-46,9832723911,2201,Klp-2201,,Volunteer,True
W00047,Worker-47,9844098466,2201,Klp-2201,,Supervisor,True
W00048,Worker-48,9870514503,2201,Klp-2201,,Volunteer,True
W00049,Worker-49,9870123638,2201,Klp-2201,,Supervisor,True
W00050,Worker-50,9881530960,2201,Klp-2201,,Volunteer,True
W00051,Worker-51,9888618058,2201,Klp-2201,,BLO,True
W00052,Worker-52,9818263907,2201,Klp-2201,,BLA,True
W00053,Worker-53,9851088935,2201,Klp-2201,,Supervisor,True
W00054,Worker-54,9853341841,2201,Klp-2201,,BLO,True
W00055,Worker-55,9833616025,2201,Klp-2201,,Volunteer,True
W00056,Worker-56,9840040811,2201,Klp-2201,,BLA,True
W00057,Worker-57,9892393075,2201,Klp-2201,,Supervisor,True
W00058,Worker-58,9816132560,2201,Klp-2201,,BLA,True
W00059,Worker-59,9828597666,2201,Klp-2201,,Volunteer,True
W00060,Worker-60,9883405279,2201,Klp-2201,,BLA,True
W00061,Worker-61,9873857722,2201,Klp-2201,,BLO,True
W00062,Worker-62,9823905092,2201,Klp-2201,,Supervisor,True
W00063,Worker-63,9873113762,2201,Klp-2201,,BLO,True
W00064,Worker-64,9858108793,2201,Klp-2201,,Volunteer,True
W00065,Worker-65,9888965535,2201,Klp-2201,,BLO,True
W00066,Worker-66,9849388801,2201,Klp-2201,,BLA,True
W00067,Worker-67,9883025907,2201,Klp-2201,,Supervisor,True
W00068,Worker-68,9866852072,2201,Klp-2201,,BLA,True
W00069,Worker-69,9823474472,2201,Klp-2201,,BLA,True
W00070,Worker-70,9849499102,2201,Klp-2201,,Supervisor,True
W00071,Worker-71,9875895866,2201,Klp-2201,,BLO,True
W00072,Worker-72,9839292105,2201,Klp-2201,,Volunteer,True
W00073,Worker-73,9899963305,2201,Klp-2201,,Volunteer,True
W00074,Worker-74,9816709948,2201,Klp-2201,,BLO,True
W00075,Worker-75,9816529739,2201,Klp-2201,,BLO,True
W00076,Worker-76,9889683231,2201,Klp-2201,,BLA,True
W00077,Worker-77,9857581124,2201,Klp-2201,,BLA,True
W00078,Worker-78,9831588753,2201,Klp-2201,,Volunteer,True
W00079,Worker-79,9882510911,2201,Klp-2201,,Supervisor,True
W00080,Worker-80,9876953338,2201,Klp-2201,,Volunteer,True
W00081,Worker-81,9862779101,2201,Klp-2201,,Supervisor,True
W00082,Worker-82,9811427982,2201,Klp-2201,,BLA,True
W00083,Worker-83,9832761042,2202,Klp-2202,,Supervisor,True
W00084,Worker-84,9816072237,2202,Klp-2202,,Supervisor,True
W00085,Worker-85,9898569773,2202,Klp-2202,,BLA,True
W00086,Worker-86,9837635778,2202,Klp-2202,,BLO,True
W00087,Worker-87,9824339093,2202,Klp-2202,,Volunteer,True
W00088,Worker-88,9842384941,2202,Klp-2202,,BLA,True
W00089,Worker-89,9881070102,2202,Klp-2202,,Volunteer,True
W00090,Worker-90,9878501378,2202,Klp-2202,,Volunteer,True
W00091,Worker-91,9825390287,2202,Klp-2202,,Volunteer,True
W00092,Worker-92,9887252770,2202,Klp-2202,,Volunteer,True
W00093,Worker-93,9811176338,2202,Klp-2202,,Volunteer,True
W00094,Worker-94,9862449756,2202,Klp-2202,,Supervisor,True
W00095,Worker-95,9898322903,2202,Klp-2202,,BLA,True
W00096,Worker-96,9812334042,2202,Klp-2202,,BLO,True
W00097,Worker-97,9860973681,2202,Klp-2202,,Supervisor,True
W00098,Worker-98,9815366698,2202,Klp-2202,,BLO,True
W00099,Worker-99,9825175033,2202,Klp-2202,,BLO,True
W00100,Worker-100,9851682344,2202,Klp-2202,,Supervisor,True
W00101,Worker-101,9847731810,2202,Klp-2202,,Supervisor,True
W00102,Worker-102,9865644295,2202,Klp-2202,,Volunteer,True
W00103,Worker-103,9865542543,2202,Klp-2202,,Supervisor,True
W00104,Worker-104,9884761573,2202,Klp-2202,,Supervisor,True
W00105,Worker-105,9893571684,2202,Klp-2202,,BLO,True
W00106,Worker-106,9826381744,2202,Klp-2202,,Volunteer,True
W00107,Worker-107,9880118171,2202,Klp-2202,,BLO,True
W00108,Worker-108,9822906907,2202,Klp-2202,,BLA,True
W00109,Worker-109,9881882558,2202,Klp-2202,,Supervisor,True
W00110,Worker-110,9831743866,2202,Klp-2202,,Supervisor,True
W00111,Worker-111,9865765957,2202,Klp-2202,,Volunteer,True
W00112,Worker-112,9899424137,2202,Klp-2202,,BLA,True
W00113,Worker-113,9812187739,2202,Klp-2202,,Supervisor,True
W00114,Worker-114,9831727778,2202,Klp-2202,,BLA,True
W00115,Worker-115,9888094690,2202,Klp-2202,,BLA,True
W00116,Worker-116,9825229991,2202,Klp-2202,,Supervisor,True
W00117,Worker-117,9865290165,2202,Klp-2202,,BLA,True
W00118,Worker-118,9823164368,2202,Klp-2202,,BLA,True
W00119,Worker-119,9889899794,2202,Klp-2202,,Supervisor,True
W00120,Worker-120,9858143079,2202,Klp-2202,,BLA,True
W00121,Worker-121,9887838603,2202,Klp-2202,,Volunteer,True
W00122,Worker-122,9890406486,2202,Klp-2202,,Volunteer,True
W00123,Worker-123,9869384561,2202,Klp-2202,,Volunteer,True
W00124,Worker-124,9895765762,2202,Klp-2202,,Supervisor,True
W00125,Worker-125,9897141628,2202,Klp-2202,,Supervisor,True
W00126,Worker-126,9816075182,2202,Klp-2202,,BLO,True
W00127,Worker-127,9849926275,2202,Klp-2202,,Volunteer,True
W00128,Worker-128,9887889346,2202,Klp-2202,,BLO,True
W00129,Worker-129,9863809340,2202,Klp-2202,,Volunteer,True
W00130,Worker-130,9817976638,2202,Klp-2202,,BLO,True
W00131,Worker-131,9843427068,2202,Klp-2202,,BLA,True
W00132,Worker-132,9828834415,2202,Klp-2202,,Supervisor,True
W00133,Worker-133,9878818475,2202,Klp-2202,,Supervisor,True
W00134,Worker-134,9816890565,2202,Klp-2202,,Volunteer,True
W00135,Worker-135,9851771587,2202,Klp-2202,,Supervisor,True
W00136,Worker-136,9845344734,2202,Klp-2202,,Volunteer,True
W00137,Worker-137,9828898185,2202,Klp-2202,,BLA,True
W00138,Worker-138,9878825884,2202,Klp-2202,,Supervisor,True
W00139,Worker-139,9817210834,2202,Klp-2202,,BLA,True
W00140,Worker-140,9828044693,2202,Klp-2202,,BLO,True
W00141,Worker-141,9817346298,2202,Klp-2202,,BLO,True
W00142,Worker-142,9822217826,2202,Klp-2202,,Volunteer,True
W00143,Worker-143,9889154299,2202,Klp-2202,,Supervisor,True
W00144,Worker-144,9837554844,2202,Klp-2202,,Supervisor,True
W00145,Worker-145,9889367418,2202,Klp-2202,,Supervisor,True
W00146,Worker-146,9813763702,2202,Klp-2202,,BLA,True
W00147,Worker-147,9814742388,2202,Klp-2202,,Volunteer,True
W00148,Worker-148,9820143308,2202,Klp-2202,,Supervisor,True
W00149,Worker-149,9872316618,2202,Klp-2202,,BLO,True
W00150,Worker-150,9887491590,2202,Klp-2202,,Supervisor,True
W00151,Worker-151,9877593348,2202,Klp-2202,,Volunteer,True
W00152,Worker-152,9876115417,2202,Klp-2202,,Volunteer,True
W00153,Worker-153,9814386317,2202,Klp-2202,,BLA,True
W00154,Worker-154,9858256787,2202,Klp-2202,,Supervisor,True
W00155,Worker-155,9895432111,2202,Klp-2202,,Supervisor,True
W00156,Worker-156,9882677125,2202,Klp-2202,,Supervisor,True
W00157,Worker-157,9849813264,2202,Klp-2202,,BLA,True
W00158,Worker-158,9823586560,2202,Klp-2202,,Volunteer,True
W00159,Worker-159,9852225275,2202,Klp-2202,,Volunteer,True
W00160,Worker-160,9811869981,2202,Klp-2202,,Supervisor,True
W00161,Worker-161,9821187086,2202,Klp-2202,,Volunteer,True
W00162,Worker-162,9813341366,2202,Klp-2202,,Supervisor,True
W00163,Worker-163,9824264791,2202,Klp-2202,,BLO,True
W00164,Worker-164,9816415296,2202,Klp-2202,,BLA,True
W00165,Worker-165,9869184502,2202,Klp-2202,,BLA,True
W00166,Worker-166,9824087360,2202,Klp-2202,,BLA,True
W00167,Worker-167,9871546018,2202,Klp-2202,,Supervisor,True
W00168,Worker-168,9855030396,2202,Klp-2202,,Supervisor,True
W00169,Worker-169,9858609642,2202,Klp-2202,,BLA,True
