worker_id,name,mobile,ac_code,ac_name,assigned_booth_part,tier,active
W00001,Worker-1,9848700529,2101,KOL-2101,,Volunteer,True
W00002,Worker-2,9810259134,2101,KOL-2101,,BLO,True
W00003,Worker-3,9895379575,2101,KOL-2101,,BLO,True
W00004,Worker-4,9829365403,2101,KOL-2101,,Supervisor,True
W00005,Worker-5,9887274587,2101,KOL-2101,,Supervisor,True
W00006,Worker-6,9883843251,2101,KOL-2101,,Supervisor,True
W00007,Worker-7,9895818243,2101,KOL-2101,,BLA,True
W00008,Worker-8,9844073238,2101,KOL-2101,,Volunteer,True
W00009,Worker-9,9885272650,2101,KOL-2101,,Supervisor,True
W00010,Worker-10,9888630373,2101,KOL-2101,,BLO,True
W00011,Worker-11,9810388221,2101,KOL-2101,,BLO,True
W00012,Worker-12,9840874437,2101,KOL-2101,,BLA,True
W00013,Worker-13,9846756519,2101,KOL-2101,,BLO,True
W00014,Worker-14,9878475338,2101,KOL-2101,,Supervisor,True
W00015,Worker-15,9869609630,2101,KOL-2101,,Volunteer,True
W00016,Worker-16,9819467122,2101,KOL-2101,,Supervisor,True
W00017,Worker-17,9822841134,2101,KOL-2101,,Volunteer,True
W00018,Worker-18,9838177432,2101,KOL-2101,,Supervisor,True
W00019,Worker-19,9835316650,2101,KOL-2101,,BLO,True
W00020,Worker-20,9819035940,2101,KOL-2101,,Volunteer,True
W00021,Worker-21,9862376383,2101,KOL-2101,,Supervisor,True
W00022,Worker-22,9892496275,2101,KOL-2101,,Supervisor,True
W00023,Worker-23,9839528469,2101,KOL-2101,,Supervisor,True
W00024,Worker-24,9818228688,2101,KOL-2101,,Supervisor,True
W00025,Worker-25,9839702469,2101,KOL-2101,,BLO,True
W00026,Worker-26,9822405304,2101,KOL-2101,,BLO,True
W00027,Worker-27,9865601021,2101,KOL-2101,,Supervisor,True
W00028,Worker-28,9831407901,2101,KOL-2101,,Volunteer,True
W00029,Worker-29,9823656466,2101,KOL-2101,,Supervisor,True
W00030,Worker-30,9862510650,2101,KOL-2101,,Volunteer,True
W00031,Worker-31,9895702379,2101,KOL-2101,,BLO,True
W00032,Worker-32,9844685773,2101,KOL-2101,,Supervisor,True
W00033,Worker-33,9856783515,2101,KOL-2101,,BLO,True
W00034,Worker-34,9875635025,2101,KOL-2101,,BLA,True
W00035,Worker-35,9851562604,2101,KOL-2101,,Volunteer,True
W00036,Worker-36,9849200060,2101,KOL-2101,,Supervisor,True
W00037,Worker-37,9876914772,2101,KOL-2101,,Supervisor,True
W00038,Worker-38,9873340471,2101,KOL-2101,,BLA,True
W00039,Worker-39,9831061639,2101,KOL-2101,,BLO,True
W00040,Worker-40,9831959210,2101,KOL-2101,,Supervisor,True
W00041,Worker-41,9889967395,2101,KOL-2101,,BLA,True
W00042,Worker-42,9837089502,2101,KOL-2101,,Supervisor,True
W00043,Worker-43,9856703565,2101,KOL-2101,,Volunteer,True
W00044,Worker-44,9865191446,2101,KOL-2101,,BLO,True
W00045,Worker-45,9869512847,2101,KOL-2101,,Supervisor,True
W00046,Worker-46,9820807349,2101,KOL-2101,,Volunteer,True
