worker_id,name,mobile,ac_code,ac_name,assigned_booth_part,tier,active
W00001,Worker-1,9831599871,153,Farakka,,Volunteer,True
W00002,Worker-2,9829549956,153,Farakka,,Volunteer,True
W00003,Worker-3,9841113610,153,Farakka,,Supervisor,True
W00004,Worker-4,9810545876,153,Farakka,,Volunteer,True
W00005,Worker-5,9814221767,153,Farakka,,BLA,True
W00006,Worker-6,9820354785,153,Farakka,,BLO,True
W00007,Worker-7,9867439319,153,Farakka,,Volunteer,True
W00008,Worker-8,9848301522,153,Farakka,,Volunteer,True
W00009,Worker-9,9895456010,153,Farakka,,BLA,True
W00010,Worker-10,9888580630,153,Farakka,,Volunteer,True
W00011,Worker-11,9820129282,153,Farakka,,Supervisor,True
W00012,Worker-12,9891184060,153,Farakka,,BLA,True
W00013,Worker-13,9886043270,153,Farakka,,BLA,True
W00014,Worker-14,9810852935,153,Farakka,,BLA,True
W00015,Worker-15,9890167147,153,Farakka,,BLA,True
W00016,Worker-16,9867671956,153,Farakka,,Volunteer,True
W00017,Worker-17,9857730234,153,Farakka,,Supervisor,True
W00018,Worker-18,9851460612,153,Farakka,,Supervisor,True
W00019,Worker-19,9851739277,153,Farakka,,BLO,True
W00020,Worker-20,9815200122,153,Farakka,,BLA,True
W00021,Worker-21,9822896453,153,Farakka,,Volunteer,True
W00022,Worker-22,9879649251,153,Farakka,,Supervisor,True
W00023,Worker-23,9863705619,153,Farakka,,BLO,True
W00024,Worker-24,9897848818,153,Farakka,,Volunteer,True
W00025,Worker-25,9850012416,153,Farakka,,BLO,True
W00026,Worker-26,9810570202,153,Farakka,,Supervisor,True
W00027,Worker-27,9834279710,153,Farakka,,BLO,True
W00028,Worker-28,9855617225,153,Farakka,,Volunteer,True
W00029,Worker-29,9836508744,153,Farakka,,BLA,True
W00030,Worker-30,9876984696,153,Farakka,,BLO,True
W00031,Worker-31,9831185715,153,Farakka,,BLA,True
W00032,Worker-32,9865252909,153,Farakka,,Volunteer,True
W00033,Worker-33,9860132517,153,Farakka,,Volunteer,True
W00034,Worker-34,9886443749,153,Farakka,,BLA,True
W00035,Worker-35,9816153748,153,Farakka,,Volunteer,True
W00036,Worker-36,9817934675,153,Farakka,,Volunteer,True
W00037,Worker-37,9818821485,153,Farakka,,BLA,True
W00038,Worker-38,9876395871,153,Farakka,,BLA,True
W00039,Worker-39,9838641930,153,Farakka,,Supervisor,True
W00040,Worker-40,9810124737,153,Farakka,,BLO,True
W00041,Worker-41,9857996213,153,Farakka,,BLA,True
W00042,Worker-42,9813012782,153,Farakka,,Volunteer,True
W00043,Worker-43,9846203148,153,Farakka,,BLO,True
W00044,Worker-44,9829823280,153,Farakka,,Volunteer,True
W00045,Worker-45,9866442189,153,Farakka,,Supervisor,True
W00046,Worker-46,9842910103,153,Farakka,,Supervisor,True
W00047,Worker-47,9887216593,153,Farakka,,Supervisor,True
W00048,Worker-48,9865552368,153,Farakka,,Supervisor,True
W00049,Worker-49,9828810409,153,Farakka,,Volunteer,True
W00050,Worker-50,9857799246,153,Farakka,,BLA,True
W00051,Worker-51,9852933672,153,Farakka,,BLO,True
W00052,Worker-52,9848177955,153,Farakka,,Volunteer,True
W00053,Worker-53,9875812955,153,Farakka,,Supervisor,True
W00054,Worker-54,9820674593,153,Farakka,,BLA,True
W00055,Worker-55,9865197052,153,Farakka,,BLA,True
W00056,Worker-56,9831067123,153,Farakka,,Supervisor,True
W00057,Worker-57,9886908551,153,Farakka,,Supervisor,True
W00058,Worker-58,9835802809,153,Farakka,,Volunteer,True
W00059,Worker-59,9856085239,153,Farakka,,Supervisor,True
W00060,Worker-60,9890464283,153,Farakka,,Volunteer,True
W00061,Worker-61,9852470177,153,Farakka,,BLO,True
W00062,Worker-62,9817963727,153,Farakka,,Supervisor,True
W00063,Worker-63,9819362037,153,Farakka,,Supervisor,True
W00064,Worker-64,9853372139,153,Farakka,,BLO,True
W00065,Worker-65,9881057213,153,Farakka,,BLO,True
W00066,Worker-66,9840657194,153,Farakka,,BLA,True
W00067,Worker-67,9823283516,153,Farakka,,Volunteer,True
W00068,Worker-68,9846746093,153,Farakka,,BLO,True
W00069,Worker-69,9812747509,153,Farakka,,BLO,True
W00070,Worker-70,9894178443,153,Farakka,,BLO,True
W00071,Worker-71,9890946099,153,Farakka,,Volunteer,True
W00072,Worker-72,9871469649,153,Farakka,,Supervisor,True
W00073,Worker-73,9849582461,153,Farakka,,Supervisor,True
W00074,Worker-74,9840502785,153,Farakka,,BLO,True
W00075,Worker-75,9829525965,153,Farakka,,Supervisor,True
W00076,Worker-76,9856311955,153,Farakka,,Volunteer,True
W00077,Worker-77,9880504584,153,Farakka,,Volunteer,True
W00078,Worker-78,9876959377,153,Farakka,,Supervisor,True
W00079,Worker-79,9817219914,153,Farakka,,Supervisor,True
W00080,Worker-80,9873410883,153,Farakka,,Volunteer,True
W00081,Worker-81,9827378338,153,Farakka,,Supervisor,True
W00082,Worker-82,9895401447,153,Farakka,,Volunteer,True
W00083,Worker-83,9846768638,153,Farakka,,Volunteer,True
W00084,Worker-84,9830178266,153,Farakka,,BLO,True
W00085,Worker-85,9898784536,153,Farakka,,Supervisor,True
W00086,Worker-86,9823794158,153,Farakka,,BLA,True
W00087,Worker-87,9865038927,153,Farakka,,Volunteer,True
W00088,Worker-88,9894264444,153,Farakka,,BLA,True
W00089,Worker-89,9812923691,153,Farakka,,BLA,True
W00090,Worker-90,9890052364,153,Farakka,,Volunteer,True
W00091,Worker-91,9885032591,153,Farakka,,Supervisor,True
W00092,Worker-92,9849133487,153,Farakka,,BLO,True
W00093,Worker-93,9892357168,153,Farakka,,BLO,True
W00094,Worker-94,9887704028,153,Farakka,,BLO,True
W00095,Worker-95,9818862127,153,Farakka,,Volunteer,True
W00096,Worker-96,9895369825,153,Farakka,,Supervisor,True
W00097,Worker-97,9827600570,153,Farakka,,BLA,True
W00098,Worker-98,9877479705,154,Samserganj,,BLO,True
W00099,Worker-99,9866864161,154,Samserganj,,Supervisor,True
W00100,Worker-100,9877903501,154,Samserganj,,Supervisor,True
W00101,Worker-101,9891127117,154,Samserganj,,Volunteer,True
W00102,Worker-102,9816752852,154,Samserganj,,BLO,True
W00103,Worker-103,9848142768,154,Samserganj,,BLA,True
W00104,Worker-104,9810236882,154,Samserganj,,Supervisor,True
W00105,Worker-105,9896336102,154,Samserganj,,Supervisor,True
W00106,Worker-106,9873024947,154,Samserganj,,BLA,True
W00107,Worker-107,9858541273,154,Samserganj,,Supervisor,True
W00108,Worker-108,9840681471,154,Samserganj,,Supervisor,True
W00109,Worker-109,9857076011,154,Samserganj,,Volunteer,True
W00110,Worker-110,9857013526,154,Samserganj,,BLA,True
W00111,Worker-111,9897329601,154,Samserganj,,BLO,True
W00112,Worker-112,9839924424,154,Samserganj,,Supervisor,True
W00113,Worker-113,9837457637,154,Samserganj,,Supervisor,True
W00114,Worker-114,9846941136,154,Samserganj,,BLA,True
W00115,Worker-115,9872733114,154,Samserganj,,BLA,True
W00116,Worker-116,9879003005,154,Samserganj,,BLA,True
W00117,Worker-117,9865620359,154,Samserganj,,BLO,True
W00118,Worker-118,9819544981,154,Samserganj,,BLO,True
W00119,Worker-119,9889312100,154,Samserganj,,Supervisor,True
W00120,Worker-120,9891919950,154,Samserganj,,Supervisor,True
W00121,Worker-121,9842031060,154,Samserganj,,Supervisor,True
W00122,Worker-122,9870371130,154,Samserganj,,Supervisor,True
W00123,Worker-123,9853774650,154,Samserganj,,BLA,True
W00124,Worker-124,9873429150,154,Samserganj,,BLO,True
W00125,Worker-125,9826577507,154,Samserganj,,BLO,True
W00126,Worker-126,9880202195,154,Samserganj,,BLO,True
W00127,Worker-127,9819841415,154,Samserganj,,BLA,True
W00128,Worker-128,9819579383,154,Samserganj,,BLO,True
W00129,Worker-129,9862807935,154,Samserganj,,Supervisor,True
W00130,Worker-130,9895548674,154,Samserganj,,BLO,True
W00131,Worker-131,9822705195,154,Samserganj,,BLA,True
W00132,Worker-132,9852860548,154,Samserganj,,Supervisor,True
W00133,Worker-133,9845242332,154,Samserganj,,Volunteer,True
W00134,Worker-134,9884306405,154,Samserganj,,BLO,True
W00135,Worker-135,9872330652,154,Samserganj,,Volunteer,True
W00136,Worker-136,9816959101,154,Samserganj,,Volunteer,True
