worker_id,name,mobile,ac_code,ac_name,assigned_booth_part,tier,active
W00001,Worker-1,9841456253,501,Nadia-501,,Volunteer,True
W00002,Worker-2,9838072647,501,Nadia-501,,Volunteer,True
W00003,Worker-3,9856219375,501,Nadia-501,,Supervisor,True
W00004,Worker-4,9894000340,501,Nadia-501,,BLO,True
W00005,Worker-5,9840653073,501,Nadia-501,,BLA,True
W00006,Worker-6,9831943616,501,Nadia-501,,Supervisor,True
W00007,Worker-7,9889337897,501,Nadia-501,,Volunteer,True
W00008,Worker-8,9890412398,501,Nadia-501,,BLO,True
W00009,Worker-9,9814605454,501,Nadia-501,,Supervisor,True
W00010,Worker-10,9857570770,501,Nadia-501,,Volunteer,True
W00011,Worker-11,9836586242,501,Nadia-501,,BLA,True
W00012,Worker-12,9890018736,501,Nadia-501,,BLA,True
W00013,Worker-13,9824540396,501,Nadia-501,,Volunteer,True
W00014,Worker-14,9888650724,501,Nadia-501,,Volunteer,True
W00015,Worker-15,9838513093,501,Nadia-501,,Volunteer,True
W00016,Worker-16,9874292954,501,Nadia-501,,Volunteer,True
W00017,Worker-17,9872123813,501,Nadia-501,,BLO,True
W00018,Worker-18,9830148476,501,Nadia-501,,Volunteer,True
W00019,Worker-19,9816909369,501,Nadia-501,,Volunteer,True
W00020,Worker-20,9834873224,501,Nadia-501,,Supervisor,True
W00021,Worker-21,9876580512,501,Nadia-501,,Supervisor,True
W00022,Worker-22,9848498353,501,Nadia-501,,Supervisor,True
W00023,Worker-23,9817900464,501,Nadia-501,,Volunteer,True
W00024,Worker-24,9852964686,501,Nadia-501,,Supervisor,True
W00025,Worker-25,9894563930,501,Nadia-501,,BLO,True
W00026,Worker-26,9882558855,501,Nadia-501,,BLO,True
W00027,Worker-27,9893936918,501,Nadia-501,,BLO,True
W00028,Worker-28,9832411772,501,Nadia-501,,BLO,True
W00029,Worker-29,9869472665,501,Nadia-501,,Volunteer,True
W00030,Worker-30,9892945783,501,Nadia-501,,BLO,True
W00031,Worker-31,9815483178,501,Nadia-501,,BLA,True
W00032,Worker-32,9865335309,501,Nadia-501,,Volunteer,True
W00033,Worker-33,9836559977,501,Nadia-501,,BLO,True
W00034,Worker-34,9833182594,501,Nadia-501,,Supervisor,True
W00035,Worker-35,9893248211,501,Nadia-501,,Volunteer,True
W00036,Worker-36,9826263217,501,Nadia-501,,Volunteer,True
W00037,Worker-37,9890472098,501,Nadia-501,,BLA,True
W00038,Worker-38,9897040432,501,Nadia-501,,Supervisor,True
W00039,Worker-39,9865495941,501,Nadia-501,,Supervisor,True
W00040,Worker-40,9849653880,501,Nadia-501,,BLA,True
W00041,Worker-41,9860444568,501,Nadia-501,,BLO,True
W00042,Worker-42,9880777615,501,Nadia-501,,Volunteer,True
W00043,Worker-43,9816074170,501,Nadia-501,,Supervisor,True
W00044,Worker-44,9828224343,501,Nadia-501,,Volunteer,True
W00045,Worker-45,9823858025,501,Nadia-501,,BLA,True
W00046,Worker-46,9893204763,501,Nadia-501,,Supervisor,True
W00047,Worker-47,9868856902,501,Nadia-501,,Volunteer,True
W00048,Worker-48,9849759940,501,Nadia-501,,BLA,True
W00049,Worker-49,9818885741,501,Nadia-501,,BLO,True
W00050,Worker-50,9815326869,501,Nadia-501,,Supervisor,True
W00051,Worker-51,9871358443,501,Nadia-501,,Supervisor,True
W00052,Worker-52,9880728607,501,Nadia-501,,Supervisor,True
W00053,Worker-53,9882854303,501,Nadia-501,,Supervisor,True
W00054,Worker-54,9848359876,501,Nadia-501,,BLA,True
W00055,Worker-55,9816896087,501,Nadia-501,,Supervisor,True
W00056,Worker-56,9882673269,501,Nadia-501,,BLO,True
W00057,Worker-57,9887019785,501,Nadia-501,,BLO,True
W00058,Worker-58,9885777894,501,Nadia-501,,Volunteer,True
W00059,Worker-59,9848794349,501,Nadia-501,,BLA,True
W00060,Worker-60,9852163504,501,Nadia-501,,BLA,True
W00061,Worker-61,9892147442,501,Nadia-501,,BLA,True
W00062,Worker-62,9856685974,501,Nadia-501,,BLA,True
W00063,Worker-63,9828604823,501,Nadia-501,,BLO,True
W00064,Worker-64,9828818729,501,Nadia-501,,BLA,True
W00065,Worker-65,9893438944,501,Nadia-501,,Supervisor,True
W00066,Worker-66,9878589610,501,Nadia-501,,BLA,True
W00067,Worker-67,9858145871,501,Nadia-501,,Volunteer,True
W00068,Worker-68,9873993107,501,Nadia-501,,BLA,True
W00069,Worker-69,9818342796,501,Nadia-501,,Volunteer,True
W00070,Worker-70,9876590023,501,Nadia-501,,BLA,True
W00071,Worker-71,9865856551,501,Nadia-501,,Volunteer,True
W00072,Worker-72,9835165370,501,Nadia-501,,BLA,True
W00073,Worker-73,9832596888,501,Nadia-501,,BLO,True
W00074,Worker-74,9810456277,501,Nadia-501,,BLA,True
W00075,Worker-75,9818672545,501,Nadia-501,,BLO,True
W00076,Worker-76,9816375982,501,Nadia-501,,Volunteer,True
W00077,Worker-77,9867495469,501,Nadia-501,,Supervisor,True
W00078,Worker-78,9889526191,501,Nadia-501,,Volunteer,True
W00079,Worker-79,9870554644,501,Nadia-501,,Supervisor,True
W00080,Worker-80,9888561768,501,Nadia-501,,Supervisor,True
W00081,Worker-81,9830086554,501,Nadia-501,,BLO,True
W00082,Worker-82,9871674636,501,Nadia-501,,BLO,True
W00083,Worker-83,9813121187,501,Nadia-501,,Volunteer,True
W00084,Worker-84,9835830514,501,Nadia-501,,Supervisor,True
W00085,Worker-85,9878255105,501,Nadia-501,,Supervisor,True
W00086,Worker-86,9854614330,502,Nadia-502,,Supervisor,True
W00087,Worker-87,9874183036,502,Nadia-502,,BLO,True
W00088,Worker-88,9858566605,502,Nadia-502,,BLO,True
W00089,Worker-89,9880822916,502,Nadia-502,,Supervisor,True
W00090,Worker-90,9847508199,502,Nadia-502,,BLO,True
W00091,Worker-91,9836099357,502,Nadia-502,,BLA,True
W00092,Worker-92,9850887975,502,Nadia-502,,Volunteer,True
W00093,Worker-93,9848893421,502,Nadia-502,,BLO,True
W00094,Worker-94,9850105229,502,Nadia-502,,Supervisor,True
W00095,Worker-95,9830394840,502,Nadia-502,,Supervisor,True
W00096,Worker-96,9810232865,502,Nadia-502,,BLA,True
W00097,Worker-97,9895548457,502,Nadia-502,,Volunteer,True
W00098,Worker-98,9881394936,502,Nadia-502,,Volunteer,True
W00099,Worker-99,9860026504,502,Nadia-502,,Supervisor,True
W00100,Worker-100,9828310004,502,Nadia-502,,Supervisor,True
W00101,Worker-101,9894272363,502,Nadia-502,,BLO,True
W00102,Worker-102,9868159310,502,Nadia-502,,BLA,True
W00103,Worker-103,9846308498,502,Nadia-502,,BLA,True
W00104,Worker-104,9869879622,502,Nadia-502,,BLA,True
W00105,Worker-105,9897568360,502,Nadia-502,,BLO,True
W00106,Worker-106,9840105329,502,Nadia-502,,Volunteer,True
W00107,Worker-107,9818523995,502,Nadia-502,,Volunteer,True
W00108,Worker-108,9827726865,502,Nadia-502,,BLA,True
W00109,Worker-109,9846432930,502,Nadia-502,,BLA,True
W00110,Worker-110,9838622985,502,Nadia-502,,BLA,True
W00111,Worker-111,9812977958,502,Nadia-502,,Supervisor,True
W00112,Worker-112,9841912050,502,Nadia-502,,Supervisor,True
W00113,Worker-113,9893194105,502,Nadia-502,,BLA,True
W00114,Worker-114,9890427811,502,Nadia-502,,BLA,True
W00115,Worker-115,9841798286,502,Nadia-502,,BLO,True
W00116,Worker-116,9856027538,502,Nadia-502,,Supervisor,True
W00117,Worker-117,9885615201,502,Nadia-502,,BLA,True
W00118,Worker-118,9861773895,502,Nadia-502,,Volunteer,True
W00119,Worker-119,9829845901,502,Nadia-502,,Volunteer,True
W00120,Worker-120,9842892163,502,Nadia-502,,BLA,True
W00121,Worker-121,9877522740,502,Nadia-502,,BLA,True
W00122,Worker-122,9886342016,502,Nadia-502,,Supervisor,True
W00123,Worker-123,9822225150,502,Nadia-502,,BLA,True
W00124,Worker-124,9895664060,502,Nadia-502,,BLO,True
W00125,Worker-125,9849546322,502,Nadia-502,,BLA,True
W00126,Worker-126,9882363201,502,Nadia-502,,BLO,True
W00127,Worker-127,9863712753,502,Nadia-502,,Supervisor,True
W00128,Worker-128,9899789357,502,Nadia-502,,Supervisor,True
W00129,Worker-129,9855545491,502,Nadia-502,,Volunteer,True
W00130,Worker-130,9892252494,502,Nadia-502,,Supervisor,True
W00131,Worker-131,9844110211,502,Nadia-502,,BLO,True
W00132,Worker-132,9819690066,502,Nadia-502,,BLO,True
W00133,Worker-133,9814144278,502,Nadia-502,,BLO,True
W00134,Worker-134,9840656292,502,Nadia-502,,Volunteer,True
W00135,Worker-135,9861649941,502,Nadia-502,,BLO,True
W00136,Worker-136,9823546348,502,Nadia-502,,Volunteer,True
W00137,Worker-137,9832175172,502,Nadia-502,,BLO,True
W00138,Worker-138,9888894657,502,Nadia-502,,BLO,True
W00139,Worker-139,9822766545,502,Nadia-502,,Supervisor,True
W00140,Worker-140,9881242573,502,Nadia-502,,Supervisor,True
W00141,Worker-141,9867289451,502,Nadia-502,,Supervisor,True
W00142,Worker-142,9860477430,502,Nadia-502,,BLA,True
W00143,Worker-143,9836357027,502,Nadia-502,,Supervisor,True
W00144,Worker-144,9821220310,502,Nadia-502,,BLA,True
W00145,Worker-145,9888713752,502,Nadia-502,,Supervisor,True
W00146,Worker-146,9866816564,502,Nadia-502,,Volunteer,True
W00147,Worker-147,9838724760,502,Nadia-502,,Volunteer,True
W00148,Worker-148,9867658350,502,Nadia-502,,BLO,True
W00149,Worker-149,9816884579,502,Nadia-502,,Supervisor,True
W00150,Worker-150,9813046361,502,Nadia-502,,BLO,True
W00151,Worker-151,9816507041,502,Nadia-502,,Volunteer,True
W00152,Worker-152,9857954123,502,Nadia-502,,BLO,True
