worker_id,name,mobile,ac_code,ac_name,assigned_booth_part,tier,active
W00001,Worker-1,9823760029,101,N24P-101,,Supervisor,True
W00002,Worker-2,9886639295,101,N24P-101,,BLA,True
W00003,Worker-3,9830309119,101,N24P-101,,BLA,True
W00004,Worker-4,9838802870,101,N24P-101,,BLO,True
W00005,Worker-5,9882726878,101,N24P-101,,Volunteer,True
W00006,Worker-6,9821341937,101,N24P-101,,BLO,True
W00007,Worker-7,9851354365,101,N24P-101,,BLO,True
W00008,Worker-8,9823399973,101,N24P-101,,Volunteer,True
W00009,Worker-9,9854840459,101,N24P-101,,Supervisor,True
W00010,Worker-10,9818948634,101,N24P-101,,BLA,True
W00011,Worker-11,9866354308,101,N24P-101,,BLO,True
W00012,Worker-12,9882124834,101,N24P-101,,BLA,True
W00013,Worker-13,9816070646,101,N24P-101,,Supervisor,True
W00014,Worker-14,9862042953,101,N24P-101,,Volunteer,True
W00015,Worker-15,9851733940,101,N24P-101,,BLA,True
W00016,Worker-16,9898477755,101,N24P-101,,Supervisor,True
W00017,Worker-17,9830133292,101,N24P-101,,Supervisor,True
W00018,Worker-18,9847862191,101,N24P-101,,BLO,True
W00019,Worker-19,9823185918,101,N24P-101,,BLO,True
W00020,Worker-20,9847955515,101,N24P-101,,Volunteer,True
W00021,Worker-21,9888731870,101,N24P-101,,Supervisor,True
W00022,Worker-22,9896238811,101,N24P-101,,Supervisor,True
W00023,Worker-23,9823710308,101,N24P-101,,BLO,True
W00024,Worker-24,9896461392,101,N24P-101,,BLA,True
W00025,Worker-25,9832955864,101,N24P-101,,BLA,True
W00026,Worker-26,9813850591,101,N24P-101,,BLA,True
W00027,Worker-27,9813203136,101,N24P-101,,BLO,True
W00028,Worker-28,9811350978,101,N24P-101,,Volunteer,True
W00029,Worker-29,9847078902,101,N24P-101,,Supervisor,True
W00030,Worker-30,9814561907,101,N24P-101,,Volunteer,True
W00031,Worker-31,9873323104,101,N24P-101,,Volunteer,True
W00032,Worker-32,9827665804,101,N24P-101,,BLA,True
W00033,Worker-33,9869443237,101,N24P-101,,Volunteer,True
W00034,Worker-34,9860051145,101,N24P-101,,BLA,True
W00035,Worker-35,9875897545,101,N24P-101,,Supervisor,True
W00036,Worker-36,9872493269,101,N24P-101,,Supervisor,True
W00037,Worker-37,9873324687,101,N24P-101,,Supervisor,True
W00038,Worker-38,9822249914,101,N24P-101,,Volunteer,True
W00039,Worker-39,9874013481,101,N24P-101,,BLO,True
W00040,Worker-40,9856507292,101,N24P-101,,BLO,True
W00041,Worker-41,9897383303,101,N24P-101,,BLO,True
W00042,Worker-42,9854930090,101,N24P-101,,BLO,True
W00043,Worker-43,9881841929,101,N24P-101,,BLA,True
W00044,Worker-44,9842660297,101,N24P-101,,Supervisor,True
W00045,Worker-45,9819832778,101,N24P-101,,BLO,True
W00046,Worker-46,9838376800,101,N24P-101,,BLA,True
W00047,Worker-47,9812689482,101,N24P-101,,Supervisor,True
W00048,Worker-48,9854486472,101,N24P-101,,BLA,True
W00049,Worker-49,9862531842,101,N24P-101,,Supervisor,True
W00050,Worker-50,9826283059,101,N24P-101,,BLO,True
W00051,Worker-51,9869318625,101,N24P-101,,BLO,True
W00052,Worker-52,9836044323,101,N24P-101,,BLO,True
W00053,Worker-53,9847320651,101,N24P-101,,Volunteer,True
W00054,Worker-54,9882369761,101,N24P-101,,BLA,True
W00055,Worker-55,9837937841,101,N24P-101,,Volunteer,True
W00056,Worker-56,9892837334,101,N24P-101,,BLO,True
W00057,Worker-57,9886655441,101,N24P-101,,BLO,True
W00058,Worker-58,9888573067,101,N24P-101,,BLA,True
W00059,Worker-59,9863126483,101,N24P-101,,Supervisor,True
W00060,Worker-60,9852053974,101,N24P-101,,Volunteer,True
W00061,Worker-61,9894462345,101,N24P-101,,BLA,True
W00062,Worker-62,9810402587,101,N24P-101,,Volunteer,True
W00063,Worker-63,9868108330,101,N24P-101,,BLA,True
W00064,Worker-64,9856575632,101,N24P-101,,Supervisor,True
W00065,Worker-65,9886420227,101,N24P-101,,BLO,True
W00066,Worker-66,9821129219,101,N24P-101,,Volunteer,True
W00067,Worker-67,9847899287,101,N24P-101,,Volunteer,True
W00068,Worker-68,9880440477,101,N24P-101,,Supervisor,True
W00069,Worker-69,9893916079,102,N24P-102,,Supervisor,True
W00070,Worker-70,9831697129,102,N24P-102,,Volunteer,True
W00071,Worker-71,9845009089,102,N24P-102,,BLA,True
W00072,Worker-72,9814624976,102,N24P-102,,Supervisor,True
W00073,Worker-73,9857257389,102,N24P-102,,BLO,True
W00074,Worker-74,9890881021,102,N24P-102,,Supervisor,True
W00075,Worker-75,9818214562,102,N24P-102,,BLO,True
W00076,Worker-76,9819160136,102,N24P-102,,BLA,True
W00077,Worker-77,9888708302,102,N24P-102,,Volunteer,True
W00078,Worker-78,9852199521,102,N24P-102,,BLA,True
W00079,Worker-79,9874560412,102,N24P-102,,BLO,True
W00080,Worker-80,9853676806,102,N24P-102,,Volunteer,True
W00081,Worker-81,9829001401,102,N24P-102,,BLO,True
W00082,Worker-82,9867043745,102,N24P-102,,Supervisor,True
W00083,Worker-83,9889688286,102,N24P-102,,Volunteer,True
W00084,Worker-84,9898206389,102,N24P-102,,Volunteer,True
W00085,Worker-85,9855742855,102,N24P-102,,BLO,True
W00086,Worker-86,9850037345,102,N24P-102,,BLA,True
W00087,Worker-87,9841013260,102,N24P-102,,Supervisor,True
W00088,Worker-88,9875120599,102,N24P-102,,BLO,True
W00089,Worker-89,9873849982,102,N24P-102,,Supervisor,True
W00090,Worker-90,9881962808,102,N24P-102,,BLO,True
W00091,Worker-91,9863485674,102,N24P-102,,BLO,True
W00092,Worker-92,9895177357,102,N24P-102,,Volunteer,True
W00093,Worker-93,9830770161,102,N24P-102,,BLA,True
W00094,Worker-94,9858478406,102,N24P-102,,BLO,True
W00095,Worker-95,9858949799,102,N24P-102,,BLA,True
W00096,Worker-96,9818819730,102,N24P-102,,BLO,True
W00097,Worker-97,9881025018,102,N24P-102,,BLA,True
W00098,Worker-98,9894390547,102,N24P-102,,BLA,True
W00099,Worker-99,9811446437,102,N24P-102,,Supervisor,True
W00100,Worker-100,9871444848,102,N24P-102,,BLO,True
W00101,Worker-101,9896724661,102,N24P-102,,Supervisor,True
W00102,Worker-102,9819905625,102,N24P-102,,Volunteer,True
W00103,Worker-103,9872803523,102,N24P-102,,Supervisor,True
W00104,Worker-104,9865849393,102,N24P-102,,Supervisor,True
W00105,Worker-105,9824584279,102,N24P-102,,BLA,True
W00106,Worker-106,9891195920,102,N24P-102,,Volunteer,True
W00107,Worker-107,9876797790,102,N24P-102,,BLA,True
W00108,Worker-108,9840873899,102,N24P-102,,Supervisor,True
W00109,Worker-109,9850148571,102,N24P-102,,BLO,True
W00110,Worker-110,9857782466,102,N24P-102,,BLA,True
W00111,Worker-111,9883264362,102,N24P-102,,BLO,True
W00112,Worker-112,9847314658,102,N24P-102,,Volunteer,True
W00113,Worker-113,9826868806,102,N24P-102,,BLA,True
W00114,Worker-114,9893866186,102,N24P-102,,BLA,True
W00115,Worker-115,9815219064,102,N24P-102,,BLO,True
W00116,Worker-116,9884180806,102,N24P-102,,BLO,True
W00117,Worker-117,9831196696,102,N24P-102,,Supervisor,True
W00118,Worker-118,9813114906,102,N24P-102,,Supervisor,True
W00119,Worker-119,9823037339,102,N24P-102,,Volunteer,True
W00120,Worker-120,9845879094,102,N24P-102,,Volunteer,True
W00121,Worker-121,9860485170,102,N24P-102,,Supervisor,True
W00122,Worker-122,9833201341,102,N24P-102,,BLA,True
W00123,Worker-123,9842874914,102,N24P-102,,Volunteer,True
W00124,Worker-124,9831569604,102,N24P-102,,BLO,True
W00125,Worker-125,9857824496,102,N24P-102,,Supervisor,True
W00126,Worker-126,9811787363,102,N24P-102,,Volunteer,True
W00127,Worker-127,9886278196,102,N24P-102,,Supervisor,True
W00128,Worker-128,9852264942,102,N24P-102,,Volunteer,True
W00129,Worker-129,9825103686,102,N24P-102,,Volunteer,True
W00130,Worker-130,9858110355,102,N24P-102,,Volunteer,True
W00131,Worker-131,9881626404,102,N24P-102,,Volunteer,True
W00132,Worker-132,9895741254,103,N24P-103,,Volunteer,True
W00133,Worker-133,9875795743,103,N24P-103,,BLA,True
W00134,Worker-134,9840202395,103,N24P-103,,Supervisor,True
W00135,Worker-135,9823074794,103,N24P-103,,BLA,True
W00136,Worker-136,9853743041,103,N24P-103,,BLO,True
W00137,Worker-137,9849685117,103,N24P-103,,BLO,True
W00138,Worker-138,9824108023,103,N24P-103,,BLO,True
W00139,Worker-139,9830769531,103,N24P-103,,Volunteer,True
W00140,Worker-140,9853222735,103,N24P-103,,BLA,True
W00141,Worker-141,9854813231,103,N24P-103,,BLA,True
W00142,Worker-142,9838059177,103,N24P-103,,BLA,True
W00143,Worker-143,9858794321,103,N24P-103,,BLO,True
W00144,Worker-144,9891421125,103,N24P-103,,Volunteer,True
W00145,Worker-145,9892333225,103,N24P-103,,BLO,True
W00146,Worker-146,9890440785,103,N24P-103,,Supervisor,True
W00147,Worker-147,9849654201,103,N24P-103,,BLO,True
W00148,Worker-148,9837298772,103,N24P-103,,BLO,True
W00149,Worker-149,9869636407,103,N24P-103,,Volunteer,True
W00150,Worker-150,9844911727,103,N24P-103,,Volunteer,True
W00151,Worker-151,9830046273,103,N24P-103,,Supervisor,True
W00152,Worker-152,9865401378,103,N24P-103,,BLA,True
W00153,Worker-153,9845049083,103,N24P-103,,BLA,True
W00154,Worker-154,9861464766,103,N24P-103,,BLO,True
W00155,Worker-155,9875715793,103,N24P-103,,BLA,True
W00156,Worker-156,9824547786,103,N24P-103,,BLO,True
W00157,Worker-157,9846300611,103,N24P-103,,Supervisor,True
W00158,Worker-158,9844576385,103,N24P-103,,Supervisor,True
W00159,Worker-159,9880895928,103,N24P-103,,BLA,True
W00160,Worker-160,9876691835,103,N24P-103,,BLO,True
W00161,Worker-161,9814619274,103,N24P-103,,BLA,True
W00162,Worker-162,9814576379,103,N24P-103,,Supervisor,True
W00163,Worker-163,9880666042,103,N24P-103,,Volunteer,True
W00164,Worker-164,9863772817,103,N24P-103,,Supervisor,True
W00165,Worker-165,9874749686,103,N24P-103,,BLA,True
W00166,Worker-166,9853375949,103,N24P-103,,BLO,True
W00167,Worker-167,9857269096,103,N24P-103,,Volunteer,True
W00168,Worker-168,9842480979,103,N24P-103,,BLO,True
W00169,Worker-169,9853448931,103,N24P-103,,BLO,True
W00170,Worker-170,9859900871,103,N24P-103,,BLA,True
W00171,Worker-171,9820244245,103,N24P-103,,Volunteer,True
W00172,Worker-172,9820803312,103,N24P-103,,Volunteer,True
W00173,Worker-173,9859936505,103,N24P-103,,BLA,True
W00174,Worker-174,9826187431,103,N24P-103,,BLO,True
W00175,Worker-175,9869457378,103,N24P-103,,Supervisor,True
W00176,Worker-176,9844794643,103,N24P-103,,BLA,True
W00177,Worker-177,9810635607,103,N24P-103,,Volunteer,True
W00178,Worker-178,9847272858,103,N24P-103,,BLO,True
W00179,Worker-179,9839764711,103,N24P-103,,BLA,True
W00180,Worker-180,9838259898,103,N24P-103,,BLA,True
W00181,Worker-181,9836495890,103,N24P-103,,Volunteer,True
W00182,Worker-182,9885701635,103,N24P-103,,BLA,True
W00183,Worker-183,9877669191,103,N24P-103,,BLA,True
W00184,Worker-184,9856755312,103,N24P-103,,Supervisor,True
