worker_id,name,mobile,ac_code,ac_name,assigned_booth_part,tier,active
W00001,Worker-1,9887505447,1401,WBrd-1401,,Supervisor,True
W00002,Worker-2,9879155049,1401,WBrd-1401,,Supervisor,True
W00003,Worker-3,9846177085,1401,WBrd-1401,,Supervisor,True
W00004,Worker-4,9845126152,1401,WBrd-1401,,Volunteer,True
W00005,Worker-5,9855603874,1401,WBrd-1401,,BLA,True
W00006,Worker-6,9812915501,1401,WBrd-1401,,BLA,True
W00007,Worker-7,9860876243,1401,WBrd-1401,,Volunteer,True
W00008,Worker-8,9833078080,1401,WBrd-1401,,Volunteer,True
W00009,Worker-9,9867280432,1401,WBrd-1401,,Volunteer,True
W00010,Worker-10,9865878216,1401,WBrd-1401,,BLA,True
W00011,Worker-11,9827179468,1401,WBrd-1401,,Volunteer,True
W00012,Worker-12,9810127215,1401,WBrd-1401,,BLO,True
W00013,Worker-13,9822169392,1401,WBrd-1401,,BLO,True
W00014,Worker-14,9820877039,1401,WBrd-1401,,BLA,True
W00015,Worker-15,9877452779,1401,WBrd-1401,,Volunteer,True
W00016,Worker-16,9811330854,1401,WBrd-1401,,BLO,True
W00017,Worker-17,9873601026,1401,WBrd-1401,,BLA,True
W00018,Worker-18,9873038417,1401,WBrd-1401,,Volunteer,True
W00019,Worker-19,9830996323,1401,WBrd-1401,,BLO,True
W00020,Worker-20,9891730790,1401,WBrd-1401,,Supervisor,True
W00021,Worker-21,9874726240,1401,WBrd-1401,,BLO,True
W00022,Worker-22,9856072398,1401,WBrd-1401,,BLA,True
W00023,Worker-23,9885570996,1401,WBrd-1401,,BLA,True
W00024,Worker-24,9873081631,1401,WBrd-1401,,BLO,True
W00025,Worker-25,9888608308,1401,WBrd-1401,,Volunteer,True
W00026,Worker-26,9857166427,1401,WBrd-1401,,BLA,True
W00027,Worker-27,9868435346,1401,WBrd-1401,,Volunteer,True
W00028,Worker-28,9813781023,1401,WBrd-1401,,BLA,True
W00029,Worker-29,9847662958,1401,WBrd-1401,,BLA,True
W00030,Worker-30,9816283329,1401,WBrd-1401,,BLA,True
W00031,Worker-31,9811095421,1401,WBrd-1401,,BLO,True
W00032,Worker-32,9849957307,1401,WBrd-1401,,Volunteer,True
W00033,Worker-33,9839942438,1401,WBrd-1401,,Supervisor,True
W00034,Worker-34,9831012150,1401,WBrd-1401,,BLO,True
W00035,Worker-35,9886218811,1401,WBrd-1401,,BLA,True
W00036,Worker-36,9840455334,1401,WBrd-1401,,BLA,True
W00037,Worker-37,9820639018,1401,WBrd-1401,,Supervisor,True
W00038,Worker-38,9817582893,1401,WBrd-1401,,Volunteer,True
W00039,Worker-39,9868285259,1401,WBrd-1401,,BLO,True
W00040,Worker-40,9841952241,1401,WBrd-1401,,Volunteer,True
W00041,Worker-41,9861891371,1401,WBrd-1401,,BLO,True
W00042,Worker-42,9816036182,1401,WBrd-1401,,BLA,True
W00043,Worker-43,9862679369,1401,WBrd-1401,,Supervisor,True
W00044,Worker-44,9833862372,1401,WBrd-1401,,BLO,True
W00045,Worker-45,9885420448,1401,WBrd-1401,,Volunteer,True
W00046,Worker-46,9885874431,1401,WBrd-1401,,Volunteer,True
W00047,Worker-47,9826177168,1401,WBrd-1401,,Supervisor,True
W00048,Worker-48,9855794423,1401,WBrd-1401,,Supervisor,True
W00049,Worker-49,9827797513,1401,WBrd-1401,,Volunteer,True
W00050,Worker-50,9855003466,1401,WBrd-1401,,Volunteer,True
W00051,Worker-51,9861891022,1401,WBrd-1401,,BLO,True
W00052,Worker-52,9827254171,1401,WBrd-1401,,Volunteer,True
W00053,Worker-53,9830956662,1401,WBrd-1401,,BLA,True
W00054,Worker-54,9842696503,1401,WBrd-1401,,Volunteer,True
W00055,Worker-55,9862371324,1401,WBrd-1401,,BLO,True
W00056,Worker-56,9836015599,1401,WBrd-1401,,BLA,True
W00057,Worker-57,9841733732,1401,WBrd-1401,,Volunteer,True
W00058,Worker-58,9869903572,1401,WBrd-1401,,Supervisor,True
W00059,Worker-59,9887163284,1401,WBrd-1401,,Volunteer,True
W00060,Worker-60,9830570632,1401,WBrd-1401,,Supervisor,True
W00061,Worker-61,9869037198,1401,WBrd-1401,,BLA,True
W00062,Worker-62,9818352330,1401,WBrd-1401,,BLO,True
W00063,Worker-63,9888272894,1402,WBrd-1402,,Supervisor,True
W00064,Worker-64,9874319809,1402,WBrd-1402,,Volunteer,True
W00065,Worker-65,9883758916,1402,WBrd-1402,,Volunteer,True
W00066,Worker-66,9838889412,1402,WBrd-1402,,BLO,True
