worker_id,name,mobile,ac_code,ac_name,assigned_booth_part,tier,active
W00001,Worker-1,9835303870,601,WMed-601,,BLA,True
W00002,Worker-2,9854732761,601,WMed-601,,Supervisor,True
W00003,Worker-3,9846610176,601,WMed-601,,Volunteer,True
W00004,Worker-4,9894196995,601,WMed-601,,Supervisor,True
W00005,Worker-5,9826031432,601,WMed-601,,Supervisor,True
W00006,Worker-6,9895621513,601,WMed-601,,BLA,True
W00007,Worker-7,9860624526,601,WMed-601,,BLA,True
W00008,Worker-8,9845577925,601,WMed-601,,BLO,True
W00009,Worker-9,9828070351,601,WMed-601,,BLO,True
W00010,Worker-10,9848113592,601,WMed-601,,Supervisor,True
W00011,Worker-11,9872501711,601,WMed-601,,Volunteer,True
W00012,Worker-12,9845737258,601,WMed-601,,Volunteer,True
W00013,Worker-13,9843811825,601,WMed-601,,BLO,True
W00014,Worker-14,9849117294,601,WMed-601,,BLO,True
W00015,Worker-15,9886030250,601,WMed-601,,BLO,True
W00016,Worker-16,9891572006,601,WMed-601,,BLO,True
W00017,Worker-17,9861893814,601,WMed-601,,Volunteer,True
W00018,Worker-18,9892656807,601,WMed-601,,Volunteer,True
W00019,Worker-19,9812294726,601,WMed-601,,BLA,True
W00020,Worker-20,9885408651,601,WMed-601,,BLO,True
W00021,Worker-21,9850453359,601,WMed-601,,Supervisor,True
W00022,Worker-22,9845847758,601,WMed-601,,BLO,True
W00023,Worker-23,9843873655,601,WMed-601,,BLO,True
W00024,Worker-24,9829159553,601,WMed-601,,BLO,True
W00025,Worker-25,9860411471,601,WMed-601,,BLO,True
W00026,Worker-26,9843234322,601,WMed-601,,Supervisor,True
W00027,Worker-27,9890905802,601,WMed-601,,BLA,True
W00028,Worker-28,9810169773,601,WMed-601,,BLO,True
W00029,Worker-29,9820349084,601,WMed-601,,BLO,True
W00030,Worker-30,9814220840,601,WMed-601,,Supervisor,True
W00031,Worker-31,9866766192,601,WMed-601,,Volunteer,True
W00032,Worker-32,9817254938,601,WMed-601,,BLA,True
W00033,Worker-33,9833229969,601,WMed-601,,BLA,True
W00034,Worker-34,9862643312,601,WMed-601,,Volunteer,True
W00035,Worker-35,9856365434,601,WMed-601,,BLA,True
W00036,Worker-36,9888703192,601,WMed-601,,BLA,True
W00037,Worker-37,9876832309,601,WMed-601,,Volunteer,True
W00038,Worker-38,9827556118,601,WMed-601,,Supervisor,True
W00039,Worker-39,9851795939,601,WMed-601,,BLO,True
W00040,Worker-40,9897506923,601,WMed-601,,Supervisor,True
W00041,Worker-41,9839975188,601,WMed-601,,Volunteer,True
W00042,Worker-42,9869561651,601,WMed-601,,BLA,True
W00043,Worker-43,9863997926,601,WMed-601,,BLO,True
W00044,Worker-44,9846504505,601,WMed-601,,Volunteer,True
W00045,Worker-45,9886860154,601,WMed-601,,Supervisor,True
W00046,Worker-46,9884436886,601,WMed-601,,Supervisor,True
W00047,Worker-47,9855184817,601,WMed-601,,Volunteer,True
W00048,Worker-48,9817162070,601,WMed-601,,BLA,True
W00049,Worker-49,9878140170,601,WMed-601,,Supervisor,True
W00050,Worker-50,9814443342,601,WMed-601,,Volunteer,True
W00051,Worker-51,9893874139,601,WMed-601,,BLA,True
W00052,Worker-52,9860595094,601,WMed-601,,BLO,True
W00053,Worker-53,9826943734,601,WMed-601,,Supervisor,True
W00054,Worker-54,9870435679,601,WMed-601,,Volunteer,True
W00055,Worker-55,9870345976,601,WMed-601,,Volunteer,True
W00056,Worker-56,9815408012,601,WMed-601,,Volunteer,True
W00057,Worker-57,9822501783,601,WMed-601,,Volunteer,True
W00058,Worker-58,9832349524,601,WMed-601,,Volunteer,True
W00059,Worker-59,9867780131,601,WMed-601,,Supervisor,True
W00060,Worker-60,9877969333,601,WMed-601,,Volunteer,True
W00061,Worker-61,9828578246,601,WMed-601,,Supervisor,True
W00062,Worker-62,9853186185,601,WMed-601,,BLO,True
