worker_id,name,mobile,ac_code,ac_name,assigned_booth_part,tier,active
W00001,Worker-1,9821795335,301,PMed-301,,BLO,True
W00002,Worker-2,9874157078,301,PMed-301,,Supervisor,True
W00003,Worker-3,9824942414,301,PMed-301,,Volunteer,True
W00004,Worker-4,9831321194,301,PMed-301,,BLA,True
W00005,Worker-5,9819429721,301,PMed-301,,BLO,True
W00006,Worker-6,9873631358,301,PMed-301,,Volunteer,True
W00007,Worker-7,9860862391,301,PMed-301,,BLO,True
W00008,Worker-8,9865836168,301,PMed-301,,BLA,True
W00009,Worker-9,9872687784,301,PMed-301,,BLO,True
W00010,Worker-10,9889673604,301,PMed-301,,Volunteer,True
W00011,Worker-11,9844091737,301,PMed-301,,Volunteer,True
W00012,Worker-12,9826879387,301,PMed-301,,BLA,True
W00013,Worker-13,9835939490,301,PMed-301,,Volunteer,True
W00014,Worker-14,9898394356,301,PMed-301,,Supervisor,True
W00015,Worker-15,9876566384,301,PMed-301,,BLA,True
W00016,Worker-16,9891957916,301,PMed-301,,Supervisor,True
W00017,Worker-17,9855414753,301,PMed-301,,BLO,True
W00018,Worker-18,9893989466,301,PMed-301,,Supervisor,True
W00019,Worker-19,9832550713,301,PMed-301,,BLA,True
W00020,Worker-20,9875083242,301,PMed-301,,BLO,True
W00021,Worker-21,9860771894,301,PMed-301,,Supervisor,True
W00022,Worker-22,9844389839,301,PMed-301,,Volunteer,True
W00023,Worker-23,9846838699,301,PMed-301,,BLO,True
W00024,Worker-24,9828783107,301,PMed-301,,BLA,True
W00025,Worker-25,9862604841,301,PMed-301,,BLA,True
W00026,Worker-26,9834782199,301,PMed-301,,BLO,True
W00027,Worker-27,9865968510,301,PMed-301,,Supervisor,True
W00028,Worker-28,9824928628,301,PMed-301,,BLO,True
W00029,Worker-29,9897038107,301,PMed-301,,Volunteer,True
W00030,Worker-30,9862130609,301,PMed-301,,Volunteer,True
W00031,Worker-31,9852777516,301,PMed-301,,Volunteer,True
W00032,Worker-32,9869482151,301,PMed-301,,BLO,True
W00033,Worker-33,9846436782,301,PMed-301,,BLA,True
W00034,Worker-34,9844644518,301,PMed-301,,Supervisor,True
W00035,Worker-35,9883078905,301,PMed-301,,Volunteer,True
W00036,Worker-36,9840303866,301,PMed-301,,BLO,True
W00037,Worker-37,9890854491,301,PMed-301,,Supervisor,True
W00038,Worker-38,9893330185,301,PMed-301,,BLA,True
W00039,Worker-39,9810457434,301,PMed-301,,BLA,True
W00040,Worker-40,9890093364,301,PMed-301,,BLO,True
W00041,Worker-41,9831828996,301,PMed-301,,BLA,True
W00042,Worker-42,9890409316,301,PMed-301,,Supervisor,True
W00043,Worker-43,9896485915,301,PMed-301,,BLO,True
W00044,Worker-44,9826389168,301,PMed-301,,BLA,True
W00045,Worker-45,9860591851,301,PMed-301,,BLA,True
W00046,Worker-46,9861724147,301,PMed-301,,BLO,True
W00047,Worker-47,9881451714,301,PMed-301,,BLA,True
W00048,Worker-48,9854057062,301,PMed-301,,BLO,True
W00049,Worker-49,9819323396,301,PMed-301,,Supervisor,True
W00050,Worker-50,9853688449,301,PMed-301,,Supervisor,True
W00051,Worker-51,9890827524,301,PMed-301,,BLA,True
W00052,Worker-52,9877241240,301,PMed-301,,BLA,True
W00053,Worker-53,9852377419,301,PMed-301,,Supervisor,True
W00054,Worker-54,9861761747,301,PMed-301,,BLA,True
W00055,Worker-55,9897591655,301,PMed-301,,Volunteer,True
W00056,Worker-56,9810429318,301,PMed-301,,Volunteer,True
W00057,Worker-57,9865524089,301,PMed-301,,Supervisor,True
W00058,Worker-58,9817525106,301,PMed-301,,Volunteer,True
W00059,Worker-59,9867990319,301,PMed-301,,BLO,True
W00060,Worker-60,9830776987,301,PMed-301,,Volunteer,True
W00061,Worker-61,9883802187,301,PMed-301,,Supervisor,True
W00062,Worker-62,9870064520,301,PMed-301,,BLO,True
W00063,Worker-63,9863066088,301,PMed-301,,Supervisor,True
W00064,Worker-64,9895986079,301,PMed-301,,BLA,True
W00065,Worker-65,9841340710,301,PMed-301,,Volunteer,True
W00066,Worker-66,9880152285,301,PMed-301,,Volunteer,True
