worker_id,name,mobile,ac_code,ac_name,assigned_booth_part,tier,active
W00001,Worker-1,9850819685,201,S24P-201,,Supervisor,True
W00002,Worker-2,9823809136,201,S24P-201,,Volunteer,True
W00003,Worker-3,9896839312,201,S24P-201,,BLA,True
W00004,Worker-4,9859348676,201,S24P-201,,Supervisor,True
W00005,Worker-5,9829421426,201,S24P-201,,Supervisor,True
W00006,Worker-6,9872837398,201,S24P-201,,Supervisor,True
W00007,Worker-7,9889206449,201,S24P-201,,Volunteer,True
W00008,Worker-8,9829801429,201,S24P-201,,Volunteer,True
W00009,Worker-9,9819586024,201,S24P-201,,Volunteer,True
W00010,Worker-10,9822124592,201,S24P-201,,Volunteer,True
W00011,Worker-11,9857245145,201,S24P-201,,Supervisor,True
W00012,Worker-12,9812516696,201,S24P-201,,Volunteer,True
W00013,Worker-13,9838831042,201,S24P-201,,BLO,True
W00014,Worker-14,9847549514,201,S24P-201,,BLO,True
W00015,Worker-15,9881269627,201,S24P-201,,Supervisor,True
W00016,Worker-16,9884630066,201,S24P-201,,BLA,True
W00017,Worker-17,9861565409,201,S24P-201,,BLA,True
W00018,Worker-18,9823473067,201,S24P-201,,Supervisor,True
W00019,Worker-19,9846780879,201,S24P-201,,Volunteer,True
W00020,Worker-20,9817211547,201,S24P-201,,Supervisor,True
W00021,Worker-21,9853202533,201,S24P-201,,Supervisor,True
W00022,Worker-22,9864746536,201,S24P-201,,BLA,True
W00023,Worker-23,9854982747,201,S24P-201,,BLO,True
W00024,Worker-24,9883190536,201,S24P-201,,BLA,True
W00025,Worker-25,9893399786,201,S24P-201,,BLO,True
W00026,Worker-26,9877249171,201,S24P-201,,Volunteer,True
W00027,Worker-27,9892527910,201,S24P-201,,Supervisor,True
W00028,Worker-28,9873918914,201,S24P-201,,BLA,True
W00029,Worker-29,9824353043,201,S24P-201,,BLO,True
W00030,Worker-30,9810453255,201,S24P-201,,Volunteer,True
W00031,Worker-31,9818785100,201,S24P-201,,BLA,True
W00032,Worker-32,9867113500,201,S24P-201,,Volunteer,True
W00033,Worker-33,9876026047,201,S24P-201,,Volunteer,True
W00034,Worker-34,9870026380,201,S24P-201,,BLO,True
W00035,Worker-35,9865457833,201,S24P-201,,Supervisor,True
W00036,Worker-36,9894624749,201,S24P-201,,Volunteer,True
