worker_id,name,mobile,ac_code,ac_name,assigned_booth_part,tier,active
W00001,Worker-1,9894147049,1301,UD-1301,,BLO,True
W00002,Worker-2,9874428085,1301,UD-1301,,BLA,True
W00003,Worker-3,9888244421,1301,UD-1301,,Volunteer,True
W00004,Worker-4,9846302494,1301,UD-1301,,BLO,True
W00005,Worker-5,9891037044,1301,UD-1301,,Supervisor,True
W00006,Worker-6,9872219758,1301,UD-1301,,BLA,True
W00007,Worker-7,9832789586,1301,UD-1301,,Volunteer,True
W00008,Worker-8,9835429526,1301,UD-1301,,Supervisor,True
W00009,Worker-9,9866712981,1301,UD-1301,,BLA,True
W00010,Worker-10,9879533334,1301,UD-1301,,Supervisor,True
W00011,Worker-11,9857699531,1301,UD-1301,,BLA,True
W00012,Worker-12,9818992610,1301,UD-1301,,BLO,True
W00013,Worker-13,9863661786,1301,UD-1301,,Supervisor,True
W00014,Worker-14,9846598679,1301,UD-1301,,BLA,True
W00015,Worker-15,9871752408,1301,UD-1301,,Supervisor,True
W00016,Worker-16,9876930948,1301,UD-1301,,Supervisor,True
W00017,Worker-17,9869208791,1301,UD-1301,,Supervisor,True
W00018,Worker-18,9895104042,1301,UD-1301,,BLO,True
W00019,Worker-19,9823368022,1301,UD-1301,,Supervisor,True
W00020,Worker-20,9889918860,1301,UD-1301,,Volunteer,True
W00021,Worker-21,9863111376,1301,UD-1301,,Supervisor,True
W00022,Worker-22,9861338328,1301,UD-1301,,Supervisor,True
W00023,Worker-23,9865256095,1301,UD-1301,,BLO,True
W00024,Worker-24,9871227107,1301,UD-1301,,BLO,True
W00025,Worker-25,9853824323,1301,UD-1301,,Volunteer,True
W00026,Worker-26,9819866431,1301,UD-1301,,BLA,True
W00027,Worker-27,9823038612,1301,UD-1301,,Volunteer,True
W00028,Worker-28,9843127628,1301,UD-1301,,BLA,True
W00029,Worker-29,9816889813,1301,UD-1301,,Supervisor,True
W00030,Worker-30,9848559711,1301,UD-1301,,BLO,True
W00031,Worker-31,9830898884,1301,UD-1301,,Supervisor,True
W00032,Worker-32,9831026426,1301,UD-1301,,Volunteer,True
W00033,Worker-33,9896504943,1301,UD-1301,,BLA,True
W00034,Worker-34,9888703781,1301,UD-1301,,BLA,True
W00035,Worker-35,9835405147,1301,UD-1301,,BLO,True
W00036,Worker-36,9823926145,1301,UD-1301,,Volunteer,True
W00037,Worker-37,9821781297,1301,UD-1301,,BLO,True
W00038,Worker-38,9878263970,1301,UD-1301,,Volunteer,True
W00039,Worker-39,9874006002,1301,UD-1301,,Supervisor,True
W00040,Worker-40,9834541008,1301,UD-1301,,Volunteer,True
W00041,Worker-41,9815151660,1301,UD-1301,,Supervisor,True
W00042,Worker-42,9850671808,1301,UD-1301,,Volunteer,True
W00043,Worker-43,9893489987,1301,UD-1301,,Supervisor,True
W00044,Worker-44,9862754003,1301,UD-1301,,Supervisor,True
W00045,Worker-45,9818170063,1301,UD-1301,,BLA,True
W00046,Worker-46,9891798275,1301,UD-1301,,Supervisor,True
W00047,Worker-47,9893933179,1301,UD-1301,,BLO,True
W00048,Worker-48,9822219664,1301,UD-1301,,Volunteer,True
W00049,Worker-49,9885410445,1301,UD-1301,,BLA,True
W00050,Worker-50,9899633351,1301,UD-1301,,Volunteer,True
W00051,Worker-51,9882839962,1301,UD-1301,,BLO,True
W00052,Worker-52,9826152814,1301,UD-1301,,Volunteer,True
W00053,Worker-53,9890800973,1301,UD-1301,,BLO,True
W00054,Worker-54,9894468257,1301,UD-1301,,Volunteer,True
W00055,Worker-55,9898210972,1301,UD-1301,,Volunteer,True
W00056,Worker-56,9835502072,1301,UD-1301,,BLA,True
W00057,Worker-57,9841578945,1301,UD-1301,,BLO,True
W00058,Worker-58,9825555924,1301,UD-1301,,BLA,True
W00059,Worker-59,9878716228,1301,UD-1301,,BLO,True
W00060,Worker-60,9810332685,1301,UD-1301,,BLO,True
W00061,Worker-61,9818511197,1301,UD-1301,,Volunteer,True
W00062,Worker-62,9873054952,1301,UD-1301,,BLO,True
W00063,Worker-63,9817495496,1301,UD-1301,,BLO,True
W00064,Worker-64,9859057444,1301,UD-1301,,BLO,True
W00065,Worker-65,9853681490,1301,UD-1301,,BLO,True
W00066,Worker-66,9811969350,1301,UD-1301,,BLO,True
W00067,Worker-67,9816244518,1301,UD-1301,,BLA,True
W00068,Worker-68,9874517202,1301,UD-1301,,Volunteer,True
W00069,Worker-69,9897138383,1301,UD-1301,,BLO,True
W00070,Worker-70,9889768047,1301,UD-1301,,BLO,True
W00071,Worker-71,9830251959,1301,UD-1301,,BLA,True
W00072,Worker-72,9876315005,1301,UD-1301,,Volunteer,True
W00073,Worker-73,9849582816,1301,UD-1301,,BLO,True
W00074,Worker-74,9857335386,1302,UD-1302,,BLA,True
W00075,Worker-75,9894172958,1302,UD-1302,,BLA,True
W00076,Worker-76,9840898678,1302,UD-1302,,BLO,True
W00077,Worker-77,9812473734,1302,UD-1302,,Volunteer,True
W00078,Worker-78,9815109541,1302,UD-1302,,Volunteer,True
W00079,Worker-79,9850064873,1302,UD-1302,,BLA,True
W00080,Worker-80,9887757260,1302,UD-1302,,Volunteer,True
W00081,Worker-81,9853820180,1302,UD-1302,,BLO,True
W00082,Worker-82,9847383669,1302,UD-1302,,BLO,True
W00083,Worker-83,9886982378,1302,UD-1302,,Volunteer,True
W00084,Worker-84,9829337324,1302,UD-1302,,Supervisor,True
W00085,Worker-85,9829925145,1302,UD-1302,,Supervisor,True
W00086,Worker-86,9891199966,1302,UD-1302,,Volunteer,True
W00087,Worker-87,9824487261,1302,UD-1302,,Supervisor,True
W00088,Worker-88,9833813955,1302,UD-1302,,BLO,True
W00089,Worker-89,9829166596,1302,UD-1302,,Supervisor,True
W00090,Worker-90,9886760532,1302,UD-1302,,Supervisor,True
W00091,Worker-91,9866825038,1302,UD-1302,,BLO,True
W00092,Worker-92,9816592978,1302,UD-1302,,BLO,True
W00093,Worker-93,9899843948,1302,UD-1302,,Supervisor,True
W00094,Worker-94,9830382160,1302,UD-1302,,Supervisor,True
W00095,Worker-95,9818066307,1302,UD-1302,,Supervisor,True
W00096,Worker-96,9831059549,1302,UD-1302,,Supervisor,True
W00097,Worker-97,9875899028,1302,UD-1302,,BLA,True
W00098,Worker-98,9889718611,1302,UD-1302,,BLO,True
W00099,Worker-99,9833640913,1302,UD-1302,,Supervisor,True
W00100,Worker-100,9860566852,1302,UD-1302,,Supervisor,True
W00101,Worker-101,9824523885,1302,UD-1302,,Supervisor,True
W00102,Worker-102,9825124464,1302,UD-1302,,Volunteer,True
W00103,Worker-103,9878091188,1302,UD-1302,,BLO,True
W00104,Worker-104,9831966026,1302,UD-1302,,BLO,True
W00105,Worker-105,9869124533,1302,UD-1302,,BLA,True
W00106,Worker-106,9836918622,1302,UD-1302,,Volunteer,True
W00107,Worker-107,9868248101,1302,UD-1302,,Supervisor,True
W00108,Worker-108,9889520790,1302,UD-1302,,BLA,True
W00109,Worker-109,9821037121,1302,UD-1302,,Supervisor,True
W00110,Worker-110,9898121562,1302,UD-1302,,Supervisor,True
W00111,Worker-111,9868870336,1302,UD-1302,,BLA,True
W00112,Worker-112,9858898404,1302,UD-1302,,BLA,True
W00113,Worker-113,9845321312,1302,UD-1302,,BLO,True
W00114,Worker-114,9838446268,1302,UD-1302,,Supervisor,True
W00115,Worker-115,9818665864,1302,UD-1302,,Supervisor,True
W00116,Worker-116,9835793247,1302,UD-1302,,BLA,True
W00117,Worker-117,9821453089,1302,UD-1302,,Volunteer,True
W00118,Worker-118,9827522801,1302,UD-1302,,BLA,True
W00119,Worker-119,9869993078,1302,UD-1302,,Volunteer,True
W00120,Worker-120,9852576425,1302,UD-1302,,Volunteer,True
W00121,Worker-121,9838127104,1302,UD-1302,,Supervisor,True
W00122,Worker-122,9823681453,1302,UD-1302,,BLO,True
W00123,Worker-123,9851016475,1302,UD-1302,,BLA,True
W00124,Worker-124,9867202848,1302,UD-1302,,Supervisor,True
W00125,Worker-125,9877877867,1302,UD-1302,,BLO,True
W00126,Worker-126,9821115948,1302,UD-1302,,Volunteer,True
W00127,Worker-127,9894736305,1302,UD-1302,,BLA,True
W00128,Worker-128,9899137453,1302,UD-1302,,BLA,True
W00129,Worker-129,9816166131,1302,UD-1302,,BLO,True
W00130,Worker-130,9876488494,1302,UD-1302,,Supervisor,True
W00131,Worker-131,9836485886,1302,UD-1302,,BLO,True
W00132,Worker-132,9851928661,1302,UD-1302,,BLA,True
W00133,Worker-133,9817606284,1302,UD-1302,,Volunteer,True
W00134,Worker-134,9880205993,1302,UD-1302,,BLO,True
W00135,Worker-135,9889845244,1302,UD-1302,,Supervisor,True
W00136,Worker-136,9859673455,1302,UD-1302,,Supervisor,True
W00137,Worker-137,9888371642,1302,UD-1302,,BLO,True
W00138,Worker-138,9839576365,1302,UD-1302,,BLO,True
W00139,Worker-139,9871085311,1302,UD-1302,,Volunteer,True
W00140,Worker-140,9895996397,1302,UD-1302,,Supervisor,True
W00141,Worker-141,9839722641,1302,UD-1302,,Volunteer,True
W00142,Worker-142,9849207368,1302,UD-1302,,BLA,True
W00143,Worker-143,9886988820,1302,UD-1302,,BLA,True
W00144,Worker-144,9878253491,1302,UD-1302,,BLO,True
W00145,Worker-145,9850513394,1302,UD-1302,,BLO,True
W00146,Worker-146,9892713230,1302,UD-1302,,BLA,True
W00147,Worker-147,9868283487,1302,UD-1302,,BLA,True
W00148,Worker-148,9825979810,1302,UD-1302,,BLA,True
W00149,Worker-149,9812113082,1302,UD-1302,,BLO,True
W00150,Worker-150,9861668784,1302,UD-1302,,BLO,True
W00151,Worker-151,9872245886,1302,UD-1302,,BLA,True
W00152,Worker-152,9819178138,1302,UD-1302,,BLA,True
W00153,Worker-153,9822332842,1302,UD-1302,,Supervisor,True
W00154,Worker-154,9837132567,1303,UD-1303,,BLA,True
W00155,Worker-155,9855272737,1303,UD-1303,,BLO,True
W00156,Worker-156,9830793255,1303,UD-1303,,Supervisor,True
W00157,Worker-157,9888872088,1303,UD-1303,,BLA,True
W00158,Worker-158,9819615266,1303,UD-1303,,BLA,True
W00159,Worker-159,9855376203,1303,UD-1303,,BLO,True
W00160,Worker-160,9814048164,1303,UD-1303,,Supervisor,True
W00161,Worker-161,9879783735,1303,UD-1303,,BLO,True
W00162,Worker-162,9885953376,1303,UD-1303,,BLO,True
W00163,Worker-163,9820133066,1303,UD-1303,,BLO,True
W00164,Worker-164,9872989166,1303,UD-1303,,BLA,True
W00165,Worker-165,9835747589,1303,UD-1303,,Supervisor,True
W00166,Worker-166,9899004862,1303,UD-1303,,Volunteer,True
W00167,Worker-167,9842722080,1303,UD-1303,,BLO,True
W00168,Worker-168,9894768835,1303,UD-1303,,BLO,True
W00169,Worker-169,9830818720,1303,UD-1303,,BLA,True
W00170,Worker-170,9856042958,1303,UD-1303,,Volunteer,True
W00171,Worker-171,9818733919,1303,UD-1303,,BLO,True
W00172,Worker-172,9813060537,1303,UD-1303,,BLA,True
W00173,Worker-173,9821575473,1303,UD-1303,,Volunteer,True
W00174,Worker-174,9832336871,1303,UD-1303,,Volunteer,True
W00175,Worker-175,9815918292,1303,UD-1303,,Supervisor,True
W00176,Worker-176,9899560942,1303,UD-1303,,Supervisor,True
W00177,Worker-177,9867772721,1303,UD-1303,,BLA,True
W00178,Worker-178,9866316607,1303,UD-1303,,Volunteer,True
W00179,Worker-179,9824062845,1303,UD-1303,,Supervisor,True
W00180,Worker-180,9818853975,1303,UD-1303,,Volunteer,True
W00181,Worker-181,9840191398,1303,UD-1303,,BLA,True
W00182,Worker-182,9890340409,1303,UD-1303,,Volunteer,True
W00183,Worker-183,9898943095,1303,UD-1303,,Volunteer,True
W00184,Worker-184,9833106353,1303,UD-1303,,Supervisor,True
W00185,Worker-185,9852036960,1303,UD-1303,,Supervisor,True
W00186,Worker-186,9825340944,1303,UD-1303,,Volunteer,True
W00187,Worker-187,9854372668,1303,UD-1303,,BLO,True
W00188,Worker-188,9833879629,1303,UD-1303,,Volunteer,True
W00189,Worker-189,9815946184,1303,UD-1303,,Volunteer,True
W00190,Worker-190,9839459611,1303,UD-1303,,Supervisor,True
W00191,Worker-191,9826784917,1303,UD-1303,,Volunteer,True
W00192,Worker-192,9861353382,1303,UD-1303,,BLO,True
W00193,Worker-193,9850194383,1303,UD-1303,,Supervisor,True
W00194,Worker-194,9832021275,1303,UD-1303,,Volunteer,True
W00195,Worker-195,9816652208,1303,UD-1303,,Volunteer,True
W00196,Worker-196,9851977010,1303,UD-1303,,Supervisor,True
W00197,Worker-197,9875940477,1303,UD-1303,,Supervisor,True
W00198,Worker-198,9814700484,1303,UD-1303,,BLO,True
W00199,Worker-199,9858288623,1303,UD-1303,,Supervisor,True
W00200,Worker-200,9885096455,1303,UD-1303,,Volunteer,True
W00201,Worker-201,9827983437,1303,UD-1303,,BLO,True
W00202,Worker-202,9855932570,1303,UD-1303,,BLO,True
W00203,Worker-203,9815220798,1303,UD-1303,,Volunteer,True
W00204,Worker-204,9857527733,1303,UD-1303,,Volunteer,True
W00205,Worker-205,9880665944,1303,UD-1303,,BLO,True
W00206,Worker-206,9865998116,1303,UD-1303,,Supervisor,True
W00207,Worker-207,9820235959,1303,UD-1303,,Supervisor,True
W00208,Worker-208,9880691310,1303,UD-1303,,BLA,True
W00209,Worker-209,9812871152,1303,UD-1303,,BLA,True
W00210,Worker-210,9836304551,1303,UD-1303,,Volunteer,True
W00211,Worker-211,9864214376,1303,UD-1303,,BLA,True
W00212,Worker-212,9868533782,1303,UD-1303,,BLO,True
W00213,Worker-213,9839828532,1303,UD-1303,,Supervisor,True
W00214,Worker-214,9840497021,1303,UD-1303,,Supervisor,True
W00215,Worker-215,9815652450,1303,UD-1303,,Volunteer,True
W00216,Worker-216,9853268974,1303,UD-1303,,Volunteer,True
W00217,Worker-217,9825181427,1303,UD-1303,,Supervisor,True
W00218,Worker-218,9818377804,1303,UD-1303,,Volunteer,True
W00219,Worker-219,9864997403,1303,UD-1303,,BLA,True
W00220,Worker-220,9887761929,1303,UD-1303,,BLO,True
W00221,Worker-221,9898157577,1303,UD-1303,,BLA,True
W00222,Worker-222,9830100855,1303,UD-1303,,BLO,True
W00223,Worker-223,9886327042,1303,UD-1303,,Supervisor,True
W00224,Worker-224,9899167187,1303,UD-1303,,Volunteer,True
W00225,Worker-225,9898142794,1303,UD-1303,,Supervisor,True
W00226,Worker-226,9867467720,1303,UD-1303,,Volunteer,True
W00227,Worker-227,9821798175,1303,UD-1303,,Supervisor,True
W00228,Worker-228,9847134973,1303,UD-1303,,BLO,True
W00229,Worker-229,9826326771,1303,UD-1303,,BLO,True
W00230,Worker-230,9831227410,1303,UD-1303,,BLA,True
W00231,Worker-231,9838096844,1303,UD-1303,,BLA,True
W00232,Worker-232,9879205351,1303,UD-1303,,Volunteer,True
W00233,Worker-233,9824683624,1303,UD-1303,,Volunteer,True
W00234,Worker-234,9836503768,1303,UD-1303,,Volunteer,True
W00235,Worker-235,9884425626,1303,UD-1303,,Volunteer,True
W00236,Worker-236,9883595476,1303,UD-1303,,BLA,True
W00237,Worker-237,9812441925,1303,UD-1303,,Volunteer,True
W00238,Worker-238,9890586558,1303,UD-1303,,BLA,True
W00239,Worker-239,9837555265,1303,UD-1303,,BLA,True
W00240,Worker-240,9898170190,1303,UD-1303,,Volunteer,True
W00241,Worker-241,9840128446,1304,UD-1304,,BLA,True
W00242,Worker-242,9815255221,1304,UD-1304,,BLO,True
W00243,Worker-243,9855600231,1304,UD-1304,,BLO,True
W00244,Worker-244,9881314657,1304,UD-1304,,Supervisor,True
W00245,Worker-245,9810094255,1304,UD-1304,,Supervisor,True
W00246,Worker-246,9853267208,1304,UD-1304,,BLO,True
W00247,Worker-247,9817899648,1304,UD-1304,,BLA,True
